species_slug,filename,specimen,view,cause,detail,cdn_status,displayed_as,filename_name_differs,family,common_name,image_url,species_page_url
chytonix-palliatricula,Chytonix palliatricula-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Cloaked Marvel Moth,https://moths.pnwinsects.org/chytonix-palliatricula/Chytonix%20palliatricula-A-V.jpg,https://moths.pnwinsects.org/species/chytonix-palliatricula/
cisseps-fulvicollis,Cisseps fulvicollis-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,Yellow-collared Scape Moth,https://moths.pnwinsects.org/cisseps-fulvicollis/Cisseps%20fulvicollis-A-V.jpg,https://moths.pnwinsects.org/species/cisseps-fulvicollis/
cissusa-indiscreta,Cissusa indiscreta-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,Indiscrete Cissusa Moth,https://moths.pnwinsects.org/cissusa-indiscreta/Cissusa%20indiscreta-A-V.jpg,https://moths.pnwinsects.org/species/cissusa-indiscreta/
cisthene-barnesii,Cisthene barnesii-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,,https://moths.pnwinsects.org/cisthene-barnesii/Cisthene%20barnesii-A-V.jpg,https://moths.pnwinsects.org/species/cisthene-barnesii/
cisthene-barnesii,Cisthene barnesii-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,,https://moths.pnwinsects.org/cisthene-barnesii/Cisthene%20barnesii-B-V.jpg,https://moths.pnwinsects.org/species/cisthene-barnesii/
cisthene-barnesii,Cisthene barnesii-C-V.jpg,C,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,,https://moths.pnwinsects.org/cisthene-barnesii/Cisthene%20barnesii-C-V.jpg,https://moths.pnwinsects.org/species/cisthene-barnesii/
clostera-albosigma,Clostera albosigma-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Notodontidae,Sigmoid Prominent Moth,https://moths.pnwinsects.org/clostera-albosigma/Clostera%20albosigma-A-V.jpg,https://moths.pnwinsects.org/species/clostera-albosigma/
clostera-brucei,Clostera brucei-C-V.jpg,C,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Notodontidae,,https://moths.pnwinsects.org/clostera-brucei/Clostera%20brucei-C-V.jpg,https://moths.pnwinsects.org/species/clostera-brucei/
clostera-multnoma,Clostera brucei-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,1,Notodontidae,,https://moths.pnwinsects.org/clostera-multnoma/Clostera%20brucei-A-V.jpg,https://moths.pnwinsects.org/species/clostera-multnoma/
clostera-multnoma,Clostera brucei-B-D.jpg,B,dorsal,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,1,Notodontidae,,https://moths.pnwinsects.org/clostera-multnoma/Clostera%20brucei-B-D.jpg,https://moths.pnwinsects.org/species/clostera-multnoma/
clostera-multnoma,Clostera brucei-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,1,Notodontidae,,https://moths.pnwinsects.org/clostera-multnoma/Clostera%20brucei-B-V.jpg,https://moths.pnwinsects.org/species/clostera-multnoma/
clostera-paraphora,Clostera paraphora-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Notodontidae,,https://moths.pnwinsects.org/clostera-paraphora/Clostera%20paraphora-A-V.jpg,https://moths.pnwinsects.org/species/clostera-paraphora/
clostera-strigosa,Clostera strigosa-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Notodontidae,Striped Chocolate-tip Moth,https://moths.pnwinsects.org/clostera-strigosa/Clostera%20strigosa-A-V.jpg,https://moths.pnwinsects.org/species/clostera-strigosa/
coelodasys-conspecta,Coelodasys conspecta-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Notodontidae,,https://moths.pnwinsects.org/coelodasys-conspecta/Coelodasys%20conspecta-A-V.jpg,https://moths.pnwinsects.org/species/coelodasys-conspecta/
coelodasys-conspecta,Coelodasys conspecta-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Notodontidae,,https://moths.pnwinsects.org/coelodasys-conspecta/Coelodasys%20conspecta-B-V.jpg,https://moths.pnwinsects.org/species/coelodasys-conspecta/
coelodasys-unicornis,Coelodasys unicornis-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Notodontidae,Unicorn Caterpillar Moth,https://moths.pnwinsects.org/coelodasys-unicornis/Coelodasys%20unicornis-A-V.jpg,https://moths.pnwinsects.org/species/coelodasys-unicornis/
coelodasys-unicornis,Coelodasys unicornis-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Notodontidae,Unicorn Caterpillar Moth,https://moths.pnwinsects.org/coelodasys-unicornis/Coelodasys%20unicornis-B-V.jpg,https://moths.pnwinsects.org/species/coelodasys-unicornis/
coenophila-opacifrons,Coenophila opacifrons-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Blueberry Dart Moth,https://moths.pnwinsects.org/coenophila-opacifrons/Coenophila%20opacifrons-A-V.jpg,https://moths.pnwinsects.org/species/coenophila-opacifrons/
colocasia-propinquilinea,Colocasia propinquilinea-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Closebanded Yellowhorn Moth,https://moths.pnwinsects.org/colocasia-propinquilinea/Colocasia%20propinquilinea-A-V.jpg,https://moths.pnwinsects.org/species/colocasia-propinquilinea/
colocasia-propinquilinea,Colocasia propinquilinea-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Closebanded Yellowhorn Moth,https://moths.pnwinsects.org/colocasia-propinquilinea/Colocasia%20propinquilinea-B-V.jpg,https://moths.pnwinsects.org/species/colocasia-propinquilinea/
colocasia-propinquilinea,Colocasia propinquilinea-C-V.jpg,C,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Closebanded Yellowhorn Moth,https://moths.pnwinsects.org/colocasia-propinquilinea/Colocasia%20propinquilinea-C-V.jpg,https://moths.pnwinsects.org/species/colocasia-propinquilinea/
coloradia-doris,Coloradia doris-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Saturniidae,Doris' Pinemoth,https://moths.pnwinsects.org/coloradia-doris/Coloradia%20doris-A-V.jpg,https://moths.pnwinsects.org/species/coloradia-doris/
coloradia-doris,Coloradia doris-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Saturniidae,Doris' Pinemoth,https://moths.pnwinsects.org/coloradia-doris/Coloradia%20doris-B-V.jpg,https://moths.pnwinsects.org/species/coloradia-doris/
coloradia-pandora,Coloradia pandora-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Saturniidae,Pandora Pinemoth,https://moths.pnwinsects.org/coloradia-pandora/Coloradia%20pandora-A-V.jpg,https://moths.pnwinsects.org/species/coloradia-pandora/
