id,genus,species,common_name,noc_id,authority,family,similar_species,subfamily
1365,Apantesis,arizoniensis,,93-0277,"(Stretch, [1874])",Erebidae,grammia-behrii|grammia-nevadensis,Arctiinae
1366,Cosmia,elisae,,93-2671,"Lafontaine & Troubridge, 2003",Noctuidae,cosmia-praeacuta|eremobina-claudens|xestia-perquiritata,Noctuinae
1367,Agrotis,obliqua,,93-3522,"(Smith, 1903)",Noctuidae,agrotis-antica|agrotis-vancouverensis,Noctuinae
1368,Sympistis,heliophila,,93-1930,"(Paykull, 1793)",Noctuidae,sympistis-nigrita|anarta-nigrolunata|xestia-bryanti,Oncocnemidinae
1370,Androloma,maccullochii,MacCulloch\'s Forester Moth,93-1984,"(W. Kirby, 1837)",Noctuidae,alypia-ridingsii,Agaristinae
1371,Euxoa,scotogrammoides,,93-3371,"McDunnough, 1932",Noctuidae,euxoa-comosa|euxoa-tocoyae|euxoa-terrenus|euxoa-altens,Noctuinae
1372,Papestra,quadrata,,93-2892,"(Smith, 1891)",Noctuidae,lacanobia-grandis|mniotype-ducta,Noctuinae
1373,Lacinipolia,quadrilineata,,93-3075,"(Grote, 1873)",Noctuidae,lacinipolia-comis|lacinipolia-olivacea,Noctuinae
1374,Schinia,biundulata,,93-2070,"Smith, 1891",Noctuidae,schinia-sexplagiata,Heliothinae
1375,Euxoa,oblongistigma,,93-3444,"(Smith, [1888])",Noctuidae,euxoa-agema|euxoa-quadridentata|euxoa-olivalis,Noctuinae
1376,Arctia,virginalis,Ranchman\'s Tiger Moth,93-0289,"(Boisduval, 1852)",Erebidae,platarctia-parthenos,Arctiinae
1377,Lasionycta,secedens,,93-2970,"(Walker, [1858])",Noctuidae,lasionycta-illima|lasionycta-leucocycla|lasionycta-taigata,Noctuinae
1378,Sympistis,sandaraca,,93-1866,"(Buckett & Bauer, 1967)",Noctuidae,sympistis-hayesi,Oncocnemidinae
1379,Orthosia,behrensiana,,93-2769,"(Grote, 1875)",Noctuidae,orthosia-pacifica|cissusa-indiscreta|perigonica-angulata,Noctuinae
1380,Orthosia,segregata,,93-2776,"(Smith, 1893)",Noctuidae,lacanobia-subjuncta|orthosia-revicta,Noctuinae
1381,Abagrotis,scopeops,,93-3679,"(Dyar, 1904)",Noctuidae,abagrotis-turbulenta,Noctuinae
1382,Sympistis,pallida,,93-1895,"(Barnes, 1928)",Noctuidae,sympistis-hathor|sympistis-columbia,Oncocnemidinae
1383,Orthodes,goodelli,Goodell\'s Arches Moth,93-3141,"(Grote, 1875)",Noctuidae,orthodes-detracta|orthodes-delecta|aseptis-binotata|rhabdorthodes-pattersoni,Noctuinae
1384,Stretchia,pictipennis,,93-2757,"McDunnough, 1949",Noctuidae,stretchia-plusiiformis,Noctuinae
1385,Schinia,lynda,,93-2081,"Troubridge, 2002",Noctuidae,schinia-florida,Heliothinae
1386,Pyrrhia,exprimens,Purple-Lined Sallow Moth,93-2041,"(Walker, 1857)",Noctuidae,pyrrhia-cilisca,Heliothinae
2834,Catocala,meskei,Meske\'s Underwing,93-0807,"Grote, 1873",Erebidae,catocala-junctura|catocala-hermia,Erebinae
1388,Spilosoma,vagans,Wandering Tiger Moth,93-0313,"(Boisduval, 1852)",Erebidae,spilosoma-pteridis,Arctiinae
1389,Apantesis,edwardsii,,93-0274,"(Stretch, 1872)",Erebidae,grammia-ornata,Arctiinae
1390,Sympistis,columbia,,93-1894,"(McDunnough, 1922)",Noctuidae,sympistis-cherti|sympistis-pallida,Oncocnemidinae
1391,Eupsilia,fringata,,93-2593,"(Barnes & McDunnough, 1916)",Noctuidae,eupsilia-devia,Noctuinae
1392,Euxoa,quadridentata,,93-3455,"(Grote & Robinson, 1865)",Noctuidae,euxoa-laetificans|euxoa-oblongistigma,Noctuinae
1393,Apantesis,nevadensis,Nevada Tiger Moth,93-0250,"(Grote & Robinson, 1866)",Erebidae,grammia-behrii|grammia-blakei|grammia-eureka|notarctia-proxima|grammia-yukona,Arctiinae
1394,Hemileuca,nevadensis,Nevada Buck Moth,MONA 7731,"Stretch, 1872",Saturniidae,,Hemileucinae
1395,Furcula,scolopendrina,Zigzag Furcula Moth,93-0028,"(Boisduval, 1869)",Notodontidae,furcula-occidentalis|furcula-cinerea,Notodontinae
1396,Heliothis,acesias,,93-2047,"Felder & Rogenhofer, 1875",Noctuidae,heliothis-phloxiphaga,Heliothinae
1397,Plagiomimicus,spumosum,Frothy Moth,93-1651,"(Grote, 1874)",Noctuidae,plagiomimicus-expallidus|zotheca-tranquilla|selicanis-cinereola,Amphipyrinae
1398,Sympistis,glennyi,,93-1835,"(Grote, 1873)",Noctuidae,sympistis-acheron|anarta-oregonica|euxoa-extranea,Oncocnemidinae
1399,Capsula,alameda,,93-2440,"(Smith, 1903)",Noctuidae,capsula-subflava,Noctuinae
1400,Ufeus,satyricus,Grote\'s Satyr Moth,93-2709,"Grote, 1873",Noctuidae,ufeus-hulsti,Noctuinae
1401,Apantesis,doris,Doris Tiger Moth,93-0241,"(Boisduval, 1869)",Erebidae,grammia-virgo|grammia-parthenice,Arctiinae
1403,Apamea,scoparia,,93-2343,"Mikkola, Mustelin & Lafontaine, 2000",Noctuidae,euxoa-shasta|apamea-cogitata,Noctuinae
1404,Paraseptis,adnixa,,93-2648.1,"(Grote, 1880)",Noctuidae,aseptis-binotata,Noctuinae
1405,Tridepia,nova,,93-2862,"(Smith, 1903)",Noctuidae,anarta-decepta|anarta-mutata|anarta-trifolii,Noctuinae
