checksum,path,bytes,species_slug,accounted_by,note
802DFA792E1C84E09CF5EE578368F65ADFC432A79B96093CEB919661690EB6C0,key-images/Pink.webp,23964,,key-image,
8093F561E0F3B1F97B4FF01644D3C961696D1F1F66B2B52F90CC087013F7A890,species-tiles/protorthodes-incincta/B-D_thumbnail.webp,146582,protorthodes-incincta,unaccounted,
8093F561E0F3B1F97B4FF01644D3C961696D1F1F66B2B52F90CC087013F7A890,species-tiles/trichopolia-incincta/B-D_thumbnail.webp,146582,trichopolia-incincta,tiles,
809B0F92E81AD94EF57CC413F46C6A65C28EE6E59487DE95D3680B8A9E36A21A,species-tiles/sympistis-chionanthi/A-D_thumbnail.webp,152552,sympistis-chionanthi,tiles,
809B0F92E81AD94EF57CC413F46C6A65C28EE6E59487DE95D3680B8A9E36A21A,species-tiles/sympistis-chionanti/A-D_thumbnail.webp,152552,sympistis-chionanti,unaccounted,
8AF52CEF4EDF1FBC37470DD7E433C3A1E6EADDD7B24ABEC92C5422932BA74332,plataea-n sp/Plataea sp-A-D.jpg,129723,plataea-n sp,unaccounted,
8AF52CEF4EDF1FBC37470DD7E433C3A1E6EADDD7B24ABEC92C5422932BA74332,plataea-n-sp/Plataea sp-A-D.jpg,129723,plataea-n-sp,photo,
9E86A5EEFB7CC29567420A0F8CCF0C610FE787B690C558100CE60C1CFD9E74C8,plataea-n sp/Plataea sp-A-V.jpg,134023,plataea-n sp,unaccounted,
9E86A5EEFB7CC29567420A0F8CCF0C610FE787B690C558100CE60C1CFD9E74C8,plataea-n-sp/Plataea sp-A-V.jpg,134023,plataea-n-sp,photo,
A354B8627C8E026173AFDED33A323BC5534F8873F19294ABA6DB2239ACF8BFDE,xestia-c-nigrum/Xestia c-nigrum-A-D.jpg,126073,xestia-c-nigrum,photo,
A354B8627C8E026173AFDED33A323BC5534F8873F19294ABA6DB2239ACF8BFDE,xestia-c/Xestia c-nigrum-A-D.jpg,126073,xestia-c,unaccounted,
A435CE9807903629B615012C225DC1976D0EFDFC3ADBE2DB007D1C0E3F10D5B4,species-tiles/protorthodes-rufula/A-D_thumbnail.webp,167356,protorthodes-rufula,unaccounted,
A435CE9807903629B615012C225DC1976D0EFDFC3ADBE2DB007D1C0E3F10D5B4,species-tiles/trichopolia-rufula/A-D_thumbnail.webp,167356,trichopolia-rufula,tiles,
A4AB28D26B694E34A8A5DC35813AD5C88817CF32C6B42E05F43AE61F8CD69864,species-tiles/protorthodes-eureka/A-D_thumbnail.webp,155516,protorthodes-eureka,unaccounted,
A4AB28D26B694E34A8A5DC35813AD5C88817CF32C6B42E05F43AE61F8CD69864,species-tiles/trichopolia-eureka/A-D_thumbnail.webp,155516,trichopolia-eureka,tiles,
A8C6B8D2BCD33AF98DA52CBD9B6D3C9A6AEC5EB63738152764E6ECF9149DBD06,mniotype-pallescens/Mniotype pallescens-A-D.jpg,142700,mniotype-pallescens,photo,
A8C6B8D2BCD33AF98DA52CBD9B6D3C9A6AEC5EB63738152764E6ECF9149DBD06,mniotype-species/Mniotype species-A-D.jpg,142700,mniotype-species,unaccounted,
AA87C5BF64CD1CC2C8205848BCB517C715366A561A79631E3C36B80C2A6E9373,mniotype-pallescens/Mniotype pallescens-A-V.jpg,134351,mniotype-pallescens,photo,
AA87C5BF64CD1CC2C8205848BCB517C715366A561A79631E3C36B80C2A6E9373,mniotype-species/Mniotype species-A-V.jpg,134351,mniotype-species,unaccounted,
ADE2034AD07D598370821F57FBD2F4BD01D2F43392BA83908364206C4538695D,caripeta -divisata/Caripeta divisata-A-V.jpg,90282,caripeta -divisata,unaccounted,
ADE2034AD07D598370821F57FBD2F4BD01D2F43392BA83908364206C4538695D,caripeta-divisata/Caripeta divisata-A-V.jpg,90282,caripeta-divisata,photo,
B0785349BD8C0467CDBC5364795FC0538460B8315AB7B69B8A7C332D8C66859D,species-tiles/protorthodes-eureka/A-V_thumbnail.webp,136668,protorthodes-eureka,unaccounted,
B0785349BD8C0467CDBC5364795FC0538460B8315AB7B69B8A7C332D8C66859D,species-tiles/trichopolia-eureka/A-V_thumbnail.webp,136668,trichopolia-eureka,tiles,
B125FA45401ACE8A4D5B58333C5CC92DAEC84C23FFFDE0771256C22D01AE6FE7,xestia-c-nigrum/Xestia c-nigrum-B-D.jpg,131602,xestia-c-nigrum,photo,
B125FA45401ACE8A4D5B58333C5CC92DAEC84C23FFFDE0771256C22D01AE6FE7,xestia-c/Xestia c-nigrum-B-D.jpg,131602,xestia-c,unaccounted,
B75EDD5BAF2BA4C217D84E777574127E969439E435A25B849FA73F310B5454E4,species-tiles/protorthodes-rufula/A-V_thumbnail.webp,155724,protorthodes-rufula,unaccounted,
B75EDD5BAF2BA4C217D84E777574127E969439E435A25B849FA73F310B5454E4,species-tiles/trichopolia-rufula/A-V_thumbnail.webp,155724,trichopolia-rufula,tiles,
BEBCFA3DFED48D9A171A18CE0035F51DE8607BAADD3EDE3B501AF31B4494144A,autographa-v-alba/Autographa v-alba-A-V.jpg,137286,autographa-v-alba,photo,
BEBCFA3DFED48D9A171A18CE0035F51DE8607BAADD3EDE3B501AF31B4494144A,autographa-v/Autographa v-alba-A-V.jpg,137286,autographa-v,unaccounted,
D91E9DEE8455F5D93ED320D85FEB4EA0B23E70F8CDD5F4A080E5BFCD2DC98657,species-tiles/protorthodes-curtica/A-D_thumbnail.webp,159668,protorthodes-curtica,unaccounted,
D91E9DEE8455F5D93ED320D85FEB4EA0B23E70F8CDD5F4A080E5BFCD2DC98657,species-tiles/trichopolia-curtica/A-D_thumbnail.webp,159668,trichopolia-curtica,tiles,
DF6B979AFC91EDF27BAAA0C1C0B243A0785EC4B0756601AE22F326AEA13B6ABC,egira-aff-curialis/Egira aff curialis-A-D.jpg,125842,egira-aff-curialis,photo,
DF6B979AFC91EDF27BAAA0C1C0B243A0785EC4B0756601AE22F326AEA13B6ABC,egira-aff-curialis/Egira_aff_curialis-A-D.jpg,125842,egira-aff-curialis,unaccounted,
EEBD57CC264C1E2D5CC4115DB2DD5712D22440250814B2426C7EE17478348483,species-tiles/protorthodes-curtica/B-V_thumbnail.webp,157768,protorthodes-curtica,unaccounted,
EEBD57CC264C1E2D5CC4115DB2DD5712D22440250814B2426C7EE17478348483,species-tiles/trichopolia-curtica/B-V_thumbnail.webp,157768,trichopolia-curtica,tiles,
F07F444B0568A2430F18DAA94890EFE992A3DD7E948507604FFE0DD8D3081508,species-tiles/protorthodes-oviduca/A-D_thumbnail.webp,166140,protorthodes-oviduca,unaccounted,
F07F444B0568A2430F18DAA94890EFE992A3DD7E948507604FFE0DD8D3081508,species-tiles/trichopolia-oviduca/A-D_thumbnail.webp,166140,trichopolia-oviduca,tiles,
