species_slug,record_type,latitude,longitude,state,county,locality,elevation_ft,year,month,day,collector,collection,notes,district_id,record_id
malacosoma-disstria,specimen,49.2,-119.816,BC,Okanagan-Similkameen,Keremeos,1350,1972,7,25,C. S. Guppy,JHS,,CA:5907,1
malacosoma-disstria,literature,51.932,-114.035,AB,,Bowden,3269,,,,,?,"Stehr & Cook, 1968",,2
feltia-jaculifera,specimen,46.324,-117.971,WA,Columbia,Dayton,1620,1955,8,26,R. E. Miller,JHS,,US:53013,3
malacosoma-disstria,literature,52.466,-114.051,AB,,Bentley,2982,,,,,?,"Stehr & Cook, 1968",,4
malacosoma-disstria,specimen,49.026,-113.685,AB,,"Belly R. Cmgd., Waterton NP",4520,2005,7,7,G. G. Anweiler,UA,Strickland website,,5
agrotis-vancouverensis,specimen,49.117,-116.163,BC,Central Kootenay,Goatfell,2600,1990,5,25,D. W. Knight,JHS,,CA:5903,6
feltia-jaculifera,specimen,44.18,-118.767,OR,Grant,Parish Cabin CG,4959,2013,8,6,J. & S. Shepard,JHS,,US:41023,7
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1988,6,27,D. W. Knight,JHS,,CA:5903,8
peridroma-saucia,specimen,47.596,-120.66,WA,Chelan,Leavenworth,1312,1969,8,27,C. S. Guppy,JHS,,US:53007,9
feltia-jaculifera,specimen,46.324,-117.971,WA,Columbia,Dayton,1620,1955,8,13,R. E. Miller,JHS,,US:53013,10
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1991,6,3,D. W. Knight,JHS,,CA:5903,11
peridroma-saucia,specimen,45.34,-123.992,OR,Tillamook,Cape Lookout SP,,1992,5,15,J. & S. Shepard,JHS,,US:41057,12
agrotis-vancouverensis,specimen,49.117,-116.163,BC,Central Kootenay,Goatfell,2600,1992,6,20,D. W. Knight,JHS,,CA:5903,13
feltia-jaculifera,specimen,42.599,-114.759,ID,Twin Falls,Buhl,3500,1961,9,14,R. E. Miller,JHS,,US:16083,14
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1987,6,3,D. W. Knight,JHS,,CA:5903,15
feltia-jaculifera,specimen,42.599,-114.759,ID,Twin Falls,Buhl,3500,1960,7,24,R. E. Miller,JHS,,US:16083,16
callizzia-amorata,specimen,48.907,-118.141,WA,Stevens,Pierre L. CG,2650,2010,7,7,J. & S. Shepard,JHS,,US:53065,17
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1987,5,31,D. W. Knight,JHS,,CA:5903,18
feltia-jaculifera,specimen,50.5,-119.833,BC,Thompson-Nicola,Monte L. ,,1989,8,4,J. Shepard,JHS,,CA:5933,19
andropolia-diversilineata,specimen,42.659,-121.876,OR,Klamath,Klamath Marsh National Wildlife Refuge,4209,2009,8,27,USFWS,OSAC,,US:41035,20
feltia-jaculifera,specimen,51.583,-119.716,BC,Thompson-Nicola,Vavenby,,,,,,RBCM,,CA:5933,21
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1986,7,16,D. W. Knight,JHS,,CA:5903,22
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1986,6,6,D. W. Knight,JHS,,CA:5903,23
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1983,5,31,D. W. Knight,JHS,,CA:5903,24
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1982,6,23,D. W. Knight,JHS,,CA:5903,25
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1981,6,9,D. W. Knight,JHS,,CA:5903,26
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1981,5,26,D. W. Knight,JHS,,CA:5903,27
feltia-jaculifera,specimen,53.3,-120.166,BC,Fraser-Fort George,McBride,,1986,7,20,Jon H. Shepard,JHS,,CA:5953,28
feltia-jaculifera,specimen,53.917,-122.75,BC,Fraser-Fort George,Prince George,,,,,,RBCM,,CA:5953,29
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1980,6,21,D. W. Knight,JHS,,CA:5903,30
agrotis-vancouverensis,specimen,50.05,-117.166,BC,Central Kootenay,Bear L. Mt.,,1903,7,28,,USNM,"Dyar, 1904; Shepard notes",CA:5903,31
agrotis-vancouverensis,specimen,48.472,-123.346,BC,Capital,Braefoot,,,,,G. A. Hardy,RBCM,,CA:5917,32
feltia-jaculifera,specimen,49.767,-115.733,BC,East Kootenay,Wasa L. PP,2700,1997,9,28,D. W. Knight,JHS,,CA:5901,33
agrotis-vancouverensis,specimen,51.817,-121.466,BC,Cariboo,Lac la Hache,,1989,6,11,J. & S. Shepard,JHS,,CA:5941,34
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1980,7,16,D. W. Knight,JHS,,CA:5903,35
feltia-jaculifera,specimen,48.983,-123.683,BC,Nanaimo,Thetis Is.,,,,,Richard Guppy,RBCM,,CA:5921,36
agrotis-vancouverensis,specimen,48.825,-124.233,BC,Capital,"Lake Cowichan, 3mW",800,1979,6,30,J. D. Lafontaine,CNC,Mona fasc.; Shepard notes,CA:5917,37
feltia-jaculifera,specimen,49.2,-124.033,BC,Nanaimo,Wellington,,1950,8,8,Richard Guppy,JHS,,CA:5921,38
agrotis-vancouverensis,specimen,48.501,-123.393,BC,Capital,Royal Oak,,,,,G. A. Hardy,RBCM,,CA:5917,39
agrotis-vancouverensis,specimen,50.383,-114.667,AB,,Hwy. 40 @ Rd.541,,1991,7,27,J. & S. Shepard,JHS,,,40
feltia-jaculifera,specimen,49.775,-115.733,BC,East Kootenay,Wasa L. PP,2700,1997,8,31,D. W. Knight,JHS,,CA:5901,41
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1980,6,4,D. W. Knight,JHS,,CA:5903,42
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1980,5,19,D. W. Knight,JHS,,CA:5903,43
agrotis-vancouverensis,specimen,48.617,-123.417,BC,Capital,"Sidney, 3mS",100,1979,6,27,J. D. Lafontaine,CNC,Mona fasc.; Shepard notes,CA:5917,44
agrotis-venerabilis,specimen,48.482,-118.728,WA,Ferry,13 Mile Trailhead,2090,2014,9,4,J. & S. Shepard,JHS,,US:53019,45
agrotis-venerabilis,specimen,47.499,-119.917,WA,Douglas,Douglas Cr.,1600,2000,9,28,D. A. Rolfs,JHS,,US:53017,46
agrotis-venerabilis,specimen,46.324,-117.971,WA,Columbia,Dayton,1620,1959,9,12,R. E. Miller,JHS,,US:53013,47
agrotis-venerabilis,specimen,47.499,-119.917,WA,Douglas,Douglas Cr.,1600,2000,8,31,D. A. Rolfs,DAR,,US:53017,48
feltia-jaculifera,specimen,48.816,-123.613,BC,Cowichan Valley,Maple Bay,,,,,,RBCM,,CA:5919,49
feltia-jaculifera,specimen,49.5,-115.766,BC,East Kootenay,Cranbrook,,1991,8,20,L. Janz,JHS,,CA:5901,50
agrotis-venerabilis,specimen,47.499,-119.917,WA,Douglas,Douglas Cr.,1600,2000,9,28,D. A. Rolfs,DAR,,US:53017,51
feltia-jaculifera,specimen,50.154,-115.817,BC,East Kootenay,Canal Flats,,1986,7,27,D. W. Knight,JHS,,CA:5901,52
feltia-jaculifera,specimen,48.655,-123.556,BC,Cowichan Valley,Shawnigan Dist.,,,,,J. R. L. Jones,RBCM,,CA:5919,53
feltia-jaculifera,specimen,48.867,-123.633,BC,Cowichan Valley,Crofton,,,,,,RBCM,,CA:5919,54
feltia-jaculifera,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,8,10,W. R. Buckell,UBC,"Buckell, 1947; Shepard notes",CA:5939,55
agrotis-venerabilis,specimen,46.324,-117.971,WA,Columbia,Dayton,1620,1955,9,4,R. E. Miller,JHS,,US:53013,56
feltia-jaculifera,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,8,30,W. R. Buckell,UBC,"Buckell, 1947; Shepard notes",CA:5939,57
feltia-jaculifera,specimen,49.533,-117.417,BC,Central Kootenay,Sproule Cr.,2400,2006,8,27,J. & S. Shepard,JHS,,CA:5903,58
feltia-jaculifera,specimen,49.333,-117.682,BC,Central Kootenay,Robson,1410,1942,7,22,H. R. Foxlee,UBC,"Foxlee, 1945; Shepard notes",CA:5903,59
agrotis-venerabilis,specimen,49.775,-115.733,BC,East Kootenay,Wasa L. PP,2700,1997,8,31,D. W. Knight,JHS,50 46 30,CA:5901,60
feltia-jaculifera,specimen,49.5,-117.283,BC,Central Kootenay,Nelson,1774,1966,8,12,J. Shepard,JHS,,CA:5903,61
agrotis-venerabilis,specimen,49.775,-115.733,BC,East Kootenay,Wasa L. PP,2700,1997,8,31,D. W. Knight,WASA,50 46 30; Shepard notes,CA:5901,62
feltia-jaculifera,specimen,49.333,-117.682,BC,Central Kootenay,Robson,1410,1943,8,18,H. R. Foxlee,UBC,"Foxlee, 1945; Shepard notes",CA:5903,63
feltia-jaculifera,specimen,49.117,-116.163,BC,Central Kootenay,Goatfell,2600,1993,8,27,D. W. Knight,JHS,,CA:5903,64
agrotis-venerabilis,specimen,49.217,-117.683,BC,Central Kootenay,Genelle,,1991,8,4,Peni Campbell,JHS,,CA:5903,65
feltia-jaculifera,specimen,49.117,-116.163,BC,Central Kootenay,Goatfell,2600,1992,8,5,D. W. Knight,JHS,,CA:5903,66
feltia-jaculifera,specimen,49.283,-124.366,BC,Central Kootenay,Errington,,,,,,RBCM,,CA:5903,67
agrotis-venerabilis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1986,9,4,D. W. Knight,JHS,,CA:5903,68
feltia-jaculifera,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1982,8,12,D. W. Knight,JHS,,CA:5903,69
agrotis-venerabilis,specimen,51.97,-122.319,BC,Cariboo,Highway 20,,1996,9,11,A. I. Fischer,JHS,,CA:5941,70
feltia-jaculifera,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1980,8,27,D. W. Knight,JHS,,CA:5903,71
agrotis-venerabilis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1980,9,13,D. W. Knight,JHS,,CA:5903,72
feltia-jaculifera,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1980,8,16,D. W. Knight,JHS,,CA:5903,73
agrotis-venerabilis,specimen,51.927,-122.337,BC,Cariboo,Doc English Gulch,,1996,9,11,A. I. Fischer,JHS,,CA:5941,74
feltia-jaculifera,specimen,49.1,-116.5,BC,Central Kootenay,Creston,,1975,8,12,E. McMackin,JHS,,CA:5903,75
feltia-jaculifera,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1980,8,6,D. W. Knight,JHS,,CA:5903,76
agrotis-orthogonia,specimen,42.599,-114.759,ID,Twin Falls,Buhl,3500,1961,10,1,R. E. Miller,JHS,,US:16083,77
feltia-jaculifera,specimen,51.953,-122.402,BC,Cariboo,Cotton Rd.,,1996,7,24,A. I. Fischer,JHS,,CA:5941,78
feltia-jaculifera,specimen,51.984,-122.428,BC,Cariboo,"Bechers Prairie, East L.",,1996,7,23,A. I. Fischer,JHS,,CA:5941,79
agrotis-orthogonia,specimen,42.599,-114.759,ID,Twin Falls,Buhl,3500,1961,9,17,R. E. Miller,JHS,,US:16083,80
feltia-jaculifera,specimen,48.55,-123.367,BC,Capital,Saanich,,,,,,RBCM,,CA:5917,81
agrotis-orthogonia,specimen,42.776,-114.703,ID,Gooding,Wendell,3435,1964,9,28,R. E. Miller,JHS,,US:16047,82
feltia-jaculifera,specimen,48.431,-123.378,BC,Capital,Victoria,,,,,,RBCM,,CA:5917,83
agrotis-orthogonia,specimen,42.776,-114.703,ID,Gooding,Wendell,3435,1965,10,5,R. E. Miller,JHS,,US:16047,84
feltia-jaculifera,specimen,51.988,-122.539,BC,Cariboo,Stack Valley Rd.,,1996,7,23,A. I. Fischer,JHS,,CA:5941,85
agrotis-orthogonia,specimen,42.599,-114.759,ID,Twin Falls,Buhl,3500,1961,10,3,R. E. Miller,JHS,,US:16083,86
feltia-jaculifera,specimen,52.167,-122.25,BC,Cariboo,"Williams Lake, 3mN",,1990,8,4,J. & S. Shepard,JHS,,CA:5941,87
agrotis-orthogonia,specimen,42.776,-114.703,ID,Gooding,Wendell,3435,1963,9,29,R. E. Miller,JHS,,US:16047,88
feltia-jaculifera,specimen,48.501,-123.393,BC,Capital,Royal Oak,,,,,G. A. Hardy,RBCM,,CA:5917,89
feltia-jaculifera,specimen,48.493,-123.378,BC,Capital,Rithets,,,,,,RBCM,,CA:5917,90
agrotis-orthogonia,specimen,49.694,-112.842,AB,,Lethbridge,,1923,9,27,H. L. H. L. Seamans,CNC,Mona fasc.; Shepard notes,,91
dichagyris-variabilis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1985,8,4,D. W. Knight,JHS,,CA:5903,92
feltia-jaculifera,specimen,48.443,-123.302,BC,Capital,Hudson Bay Woods,,,,,,RBCM,,CA:5917,93
agrotis-longicornis,specimen,43.433,-118.983,OR,Harney,Wright's Point,3900,1998,6,7,J. Troubridge,CNC,"holotype, paratypes; Shepard notes",US:41025,94
feltia-jaculifera,specimen,51.05,-114.083,AB,,Calgary,,,,,,AMNH,"holotype of hudsonii Smith, 1903; Shepard notes",,95
feltia-jaculifera,specimen,49.694,-112.842,AB,,Lethbridge,,,,,J. R. Byers,CNC,Mona fasc.; Shepard notes,,96
agrotis-longicornis,specimen,43.443,-118.974,OR,Harney,"Burns, 10mS",,1963,5,20,K. Goeden,?,,US:41025,97
feltia-nigrita,specimen,52.467,-116.083,AB,,Nordegg,,,,,,CNC,"Lafontaine, 1986; Shepard notes",,98
malacosoma-disstria,specimen,53.659,-111.366,AB,,"Beauvallon, 2mE",2000,,,,F. W. Stehr,UMn,"Stehr & Cook, 1968; larvae on P. tremuloides; June 29, 1960",,99
feltia-nigrita,specimen,52.517,-116.1,AB,,Mt. Baldy,5400,1998,6,30,J. Troubridge,CNC,Mona fasc.; Shepard notes,,100
feltia-mollis,specimen,49.775,-115.733,BC,East Kootenay,Wasa L. PP,2700,1997,7,12,D. W. Knight,WASA,50 46 30; Shepard notes,CA:5901,101
feltia-mollis,specimen,49.783,-115.733,BC,East Kootenay,Wasa L. PP,2700,1997,7,12,D. W. Knight,JHS,,CA:5901,102
feltia-mollis,specimen,49.783,-115.733,BC,East Kootenay,Wasa L. PP,2700,1997,8,12,D. W. Knight,JHS,,CA:5901,103
feltia-mollis,specimen,49.775,-115.733,BC,East Kootenay,Wasa L. PP,2700,1997,7,12,D. W. Knight,JHS,,CA:5901,104
agrotis-vetusta,specimen,46.065,-118.352,WA,Walla Walla,Walla Walla,1000,1955,8,10,W. C. Cook,JHS,,US:53071,105
feltia-mollis,specimen,49,-115.05,BC,East Kootenay,"Roosville, 3mN",,1991,7,6,J. & S. Shepard,JHS,,CA:5901,106
feltia-mollis,specimen,52.118,-122.278,BC,Cariboo,"Williams Lake, S",,1996,7,15,A. I. Fischer,JHS,,CA:5941,107
feltia-mollis,specimen,52.197,-122.275,BC,Cariboo,"Williams Lake, N",,1996,7,12,A. I. Fischer,JHS,,CA:5941,108
agrotis-vetusta,specimen,47.499,-119.917,WA,Douglas,Douglas Cr.,1600,2000,9,28,D. A. Rolfs,JHS,,US:53017,109
feltia-mollis,specimen,52.152,-122.292,BC,Cariboo,Meldrum Cr.,,1996,7,11,A. I. Fischer,JHS,,CA:5941,110
feltia-mollis,specimen,51.981,-122.466,BC,Cariboo,Bechers Prairie,,1996,7,13,A. I. Fischer,JHS,,CA:5941,111
agrotis-vetusta,specimen,47.499,-119.917,WA,Douglas,Douglas Cr.,1600,2000,9,28,D. A. Rolfs,DAR,,US:53017,112
agrotis-vetusta,specimen,47.499,-119.917,WA,Douglas,Douglas Cr.,1600,2000,8,31,D. A. Rolfs,JHS,,US:53017,113
agrotis-vetusta,specimen,46.324,-117.971,WA,Columbia,Dayton,1620,1955,8,11,R. E. Miller,?,Miller cards; Shepard notes,US:53013,114
agrotis-vetusta,specimen,45.486,-120.455,OR,Sherman,Cottonwood Cyn. SP,553,2015,6,19,J. & S. Shepard,JHS,,US:41055,115
actebia-fennica,specimen,49.917,-116.916,BC,Central Kootenay,Kaslo,,1903,8,7,H. G. Dyar,USNM,"Dyar, 1904; Shepard notes",CA:5903,116
agrotis-vetusta,specimen,46.324,-117.971,WA,Columbia,Dayton,1620,1955,9,2,R. E. Miller,?,Miller cards; Shepard notes,US:53013,117
agrotis-vetusta,specimen,46.324,-117.971,WA,Columbia,Dayton,1620,1955,8,27,R. E. Miller,JHS,,US:53013,118
feltia-mollis,specimen,52.467,-116.083,AB,,Nordegg,,,,,,CNC,"Lafontaine, 1986; Shepard notes",,119
agrotis-vetusta,specimen,47.499,-119.917,WA,Douglas,Douglas Cr.,1600,2000,8,31,D. A. Rolfs,DAR,,US:53017,120
peridroma-saucia,specimen,49.917,-116.916,BC,Central Kootenay,Kaslo,,1903,8,17,H. G. Dyar,USNM,"Dyar, 1904; Shepard notes",CA:5903,121
peridroma-saucia,specimen,49.917,-116.916,BC,Central Kootenay,Kaslo,,1903,8,11,H. G. Dyar,USNM,"Dyar, 1904; Shepard notes",CA:5903,122
peridroma-saucia,specimen,49.917,-116.916,BC,Central Kootenay,Kaslo,,1903,8,7,H. G. Dyar,USNM,"Dyar, 1904; Shepard notes",CA:5903,123
peridroma-saucia,specimen,49.917,-116.916,BC,Central Kootenay,Kaslo,,1903,7,8,H. G. Dyar,USNM,"Dyar, 1904; Shepard notes",CA:5903,124
peridroma-saucia,specimen,49.917,-116.916,BC,Central Kootenay,Kaslo,,1903,6,30,H. G. Dyar,USNM,"Dyar, 1904; Shepard notes",CA:5903,125
peridroma-saucia,specimen,49.917,-116.916,BC,Central Kootenay,Kaslo,,1903,6,16,H. G. Dyar,USNM,"Dyar, 1904; Shepard notes",CA:5903,126
peridroma-saucia,specimen,49.917,-116.916,BC,Central Kootenay,Kaslo,,1903,6,25,H. G. Dyar,USNM,"Dyar, 1904; Shepard notes",CA:5903,127
peridroma-saucia,specimen,49.917,-116.916,BC,Central Kootenay,Kaslo,,1903,6,13,H. G. Dyar,USNM,"Dyar, 1904; Shepard notes",CA:5903,128
agrotis-vetusta,specimen,49.5,-115.766,BC,East Kootenay,Cranbrook,,1992,8,29,L. Janz,JHS,,CA:5901,129
peridroma-saucia,specimen,49.917,-116.916,BC,Central Kootenay,Kaslo,,1903,6,4,H. G. Dyar,USNM,"Dyar, 1904; Shepard notes",CA:5903,130
agrotis-vetusta,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,7,25,W. R. Buckell,UBC,"Buckell, 1947; Shepard notes",CA:5939,131
peridroma-saucia,specimen,49.917,-116.916,BC,Central Kootenay,Kaslo,,1903,6,2,H. G. Dyar,USNM,"Dyar, 1904; Shepard notes",CA:5903,132
anicla-tepperi,specimen,51.05,-114.083,AB,,Calgary,,,,,,USNM,"Lectotype of atricincta Smith, 1895; Shepard notes",,133
agrotis-vetusta,specimen,49.533,-117.417,BC,Central Kootenay,Sproule Cr.,2400,1987,8,28,J. Shepard,JHS,,CA:5903,134
dichagyris-variabilis,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,8,28,W. R. Buckell,UBC,"Buckell, 1947; det. McDunnough",CA:5939,135
agrotis-vetusta,specimen,49.533,-117.417,BC,Central Kootenay,Sproule Cr.,2400,1987,8,27,J. Shepard,JHS,,CA:5903,136
agrotis-vetusta,specimen,49.533,-117.417,BC,Central Kootenay,Sproule Cr.,2400,1987,8,18,J. Shepard,JHS,,CA:5903,137
dichagyris-variabilis,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,8,12,W. R. Buckell,UBC,"Buckell, 1947; det. McDunnough",CA:5939,138
agrotis-vetusta,specimen,49.333,-117.682,BC,Central Kootenay,Robson,1410,1944,8,18,H. R. Foxlee,UBC,"Foxlee, 1945; Shepard notes",CA:5903,139
agrotis-vetusta,specimen,49.5,-117.283,BC,Central Kootenay,Nelson,1774,1966,8,27,J. Shepard,JHS,,CA:5903,140
agrotis-vetusta,specimen,50.267,-119.266,BC,Okanagan-Similkameen,Vernon,,1916,8,30,E. H. Blackmore,RBCM,,CA:5907,141
peridroma-saucia,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,12,15,W. R. Buckell,UBC,"Buckell, 1947; Shepard notes",CA:5939,142
actebia-fennica,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,6,23,W. R. Buckell,UBC,"Buckell, 1947; Shepard notes",CA:5939,143
agrotis-vetusta,specimen,49.5,-117.283,BC,Central Kootenay,Nelson,1774,1966,8,12,J. Shepard,JHS,,CA:5903,144
peridroma-saucia,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,9,9,W. R. Buckell,UBC,"Buckell, 1947; Shepard notes",CA:5939,145
agrotis-vetusta,specimen,49.1,-116.5,BC,Central Kootenay,Creston,,1975,8,17,E. McMackin,JHS,,CA:5903,146
peridroma-saucia,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,11,1,W. R. Buckell,UBC,"Buckell, 1947; Shepard notes",CA:5939,147
agrotis-vetusta,specimen,49.1,-116.5,BC,Central Kootenay,Creston,,1975,8,12,E. McMackin,JHS,,CA:5903,148
peridroma-saucia,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,9,1,W. R. Buckell,UBC,"Buckell, 1947; Shepard notes",CA:5939,149
feltia-herilis,specimen,48.959,-117.834,WA,Stevens,Sheep Cr. Rec. Site,1949,2011,7,29,J. & S. Shepard,JHS,,US:53065,150
feltia-herilis,specimen,48.449,-117.223,WA,Pend Oreille,"Mill Cr. Rd., km. 4.8",3020,2012,7,18,J. & S. Shepard,JHS,,US:53051,151
peridroma-saucia,specimen,49.333,-117.682,BC,Central Kootenay,Robson,1410,1938,8,16,H. R. Foxlee,UBC,"Foxlee, 1945; Shepard notes",CA:5903,152
feltia-herilis,specimen,47.71,-122.888,WA,Jefferson,Seal Rock CG,50,1995,7,30,J. & S. Shepard,JHS,,US:53031,153
copablepharon-viridisparsa,specimen,49.317,-117.65,BC,Central Kootenay,Brilliant,1550,1944,7,7,H. R. Foxlee,UBC,"Foxlee, 1945; Shepard notes",CA:5903,154
feltia-herilis,specimen,46.324,-117.971,WA,Columbia,Dayton,1620,1957,9,13,R. E. Miller,JHS,,US:53013,155
epidemas-cinerea,specimen,47.66,-119.62,WA,Douglas,Jameson L,1790,2002,9,23,LG Crabo,LGCC,,US:53017,156
callizzia-amorata,specimen,48.547,-118.231,WA,Ferry,Bangs Mt. ,3012,2010,7,9,J. & S. Shepard,JHS,,US:53019,157
copablepharon-spiritum,specimen,48.202,-119.71,WA,Okanogan,"Wakefield, 1mNE",823,1997,9,4,J. Troubridge,UA,,US:53047,158
feltia-herilis,specimen,42.599,-114.759,ID,Twin Falls,Buhl,3500,1958,7,20,R. E. Miller,JHS,,US:16083,159
peridroma-saucia,specimen,49.25,-123.116,BC,Greater Vancouver,Vancouver,,,,,,RBCM,,CA:5915,160
copablepharon-mutans,specimen,46.917,-119.9,WA,Grant,Hwy. 26,1400,1998,8,28,J. Troubridge,UA,,US:53025,161
copablepharon-spiritum,specimen,42.15,-118.6,OR,Harney,"Fields, 13kmS",3900,1999,9,5,J. Troubridge,UA,,US:41025,162
copablepharon-spiritum,specimen,42.467,-118.9,OR,Harney,Catlow Rim,4500,1999,9,5,J. Troubridge,UA,,US:41025,163
copablepharon-atrinotum,specimen,42.563,-119.058,OR,Harney,Catlow Valley Rd. dunes,4500,1994,6,4,Troubridge/Crabo,UA,,US:41025,164
feltia-herilis,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,7,18,W. R. Buckell,UBC,"Buckell, 1947; Shepard notes",CA:5939,165
peridroma-saucia,specimen,48.816,-123.613,BC,,Maple Bay,,,,,,RBCM,,CA:5919,166
feltia-herilis,specimen,50.7,-119.217,BC,Columbia-Shuswap,South Canoe,,,7,28,W. R. Buckell,UBC,"Buckell, 1947; Shepard notes",CA:5939,167
copablepharon-viridisparsa,specimen,47.905,-118.308,WA,Lincoln,Fort Spokane,1312,1987,6,5,J. & S. Shepard,JHS,,US:53043,168
copablepharon-absidum,specimen,42.679,-112.987,ID,Power,Massacre Rocks SP,4290,2010,7,16,J. & S. Shepard,JHS,,US:16077,169
copablepharon-absidum,specimen,46.555,-118.173,WA,Columbia,Dayton,550,1959,7,10,R. E. Miller,JHS,,US:53013,170
copablepharon-absidum,specimen,46.24,-119.099,WA,Franklin,Pasco,383,1959,8,23,R. E. Miller,JHS,,US:53021,171
copablepharon-absidum,specimen,46.89,-119.95,WA,Grant,"Vantage, 2.7kmS",600,1991,9,16,Jon H. Shepard,JHS,,US:53025,172
feltia-jaculifera,specimen,51.649,-120.033,BC,Thompson-Nicola,Clearwater,,,,,Hettie Miller,RBCM,,CA:5933,173
copablepharon-absidum,specimen,46.378,-120.308,WA,Yakima,Toppenish,760,1963,5,23,R. E. Miller,JHS,,US:53077,174
euxoa-auxiliaris,specimen,42.28,-120.19,OR,Lake,"Warner Mts, Bull Prairie, tributary to Porcupine Cr",1980,1991,7,28,LG Crabo,LGCC,Wet sedge meadow,US:41037,175
protogygia-album,specimen,42.679,-112.987,ID,Power,Massacre Rocks SP,4290,2010,7,16,J. & S. Shepard,JHS,,US:16077,176
feltia-herilis,specimen,48.501,-123.393,BC,Capital,Royal Oak,,,,,G. A. Hardy,RBCM,,CA:5917,177
protogygia-postera,specimen,44.844,-117.91,OR,Baker,Spring Cr.,4000,1962,7,24,J. H. Baker,JHS,,US:41001,178
feltia-herilis,specimen,52.733,-122.117,BC,Cariboo,Beaver Cr. @ Quesnel R.,1900,2000,8,13,C. S. Guppy,JHS,,CA:5941,179
protogygia-postera,specimen,43.246,-118.897,OR,Harney,Malheur Field Sta.,4130,2013,8,9,J. & S. Shepard,JHS,,US:41025,180
feltia-herilis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1980,7,28,D. W. Knight,JHS,,CA:5903,181
copablepharon-grandis,specimen,43.246,-118.897,OR,Harney,Malheur Field Sta.,4130,2013,8,9,J. & S. Shepard,JHS,,US:41025,182
copablepharon-absidum,specimen,49.033,-119.45,BC,Okanagan-Similkameen,Osoyoos,,1953,8,23,J. E. H. Martin,JHS,,CA:5907,183
copablepharon-absidum,specimen,42.776,-114.703,ID,Gooding,Wendell,3435,1968,5,20,R. E. Miller,JHS,,US:16047,184
feltia-herilis,specimen,49.2,-124.033,BC,Nanaimo,Wellington,,,,,,RBCM,,CA:5921,185
feltia-herilis,specimen,48.983,-123.683,BC,Nanaimo,Thetis Is.,,,,,Richard Guppy,RBCM,,CA:5921,186
peridroma-saucia,specimen,49.2,-124.033,BC,Nanaimo,Wellington,,,,,,RBCM,,CA:5921,187
protogygia-arena,specimen,43,-120.017,OR,Lake,Alkali L.,3900,2001,5,24,J. Troubridge,UA,,US:41037,188
protogygia-enalaga,specimen,42.599,-114.759,ID,Twin Falls,Buhl,3500,1962,5,9,R. E. Miller,JHS,,US:16083,189
protogygia-enalaga,specimen,42.599,-114.759,ID,Twin Falls,Buhl,3500,1962,5,10,R. E. Miller,JHS,,US:16083,190
feltia-jaculifera,specimen,47.499,-119.917,WA,Douglas,Douglas Cr.,1600,2000,8,31,D. A. Rolfs,DAR,,US:53017,191
protogygia-enalaga,specimen,42.033,-118.283,OR,Harney,Trout Cr.,4100,1992,6,2,J. & S. Shepard,JHS,,US:41025,192
