row_index,species_slug,latitude,longitude,state,county,outcome,district_id,distance_km,notes
59,agrotis-venerabilis,49.775,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
60,feltia-jaculifera,49.5,-117.283,BC,Central Kootenay,assigned-contained,CA:5903,,
61,agrotis-venerabilis,49.775,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
62,feltia-jaculifera,49.333,-117.682,BC,Central Kootenay,assigned-contained,CA:5903,,
63,feltia-jaculifera,49.117,-116.163,BC,Central Kootenay,assigned-contained,CA:5903,,
64,agrotis-venerabilis,49.217,-117.683,BC,Central Kootenay,assigned-contained,CA:5905,,
65,feltia-jaculifera,49.117,-116.163,BC,Central Kootenay,assigned-contained,CA:5903,,
66,feltia-jaculifera,49.283,-124.366,BC,Central Kootenay,assigned-contained,CA:5921,,
67,agrotis-venerabilis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
68,feltia-jaculifera,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
69,agrotis-venerabilis,51.97,-122.319,BC,Cariboo,assigned-contained,CA:5941,,
70,feltia-jaculifera,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
71,agrotis-venerabilis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
72,feltia-jaculifera,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
73,agrotis-venerabilis,51.927,-122.337,BC,Cariboo,assigned-contained,CA:5941,,
74,feltia-jaculifera,49.1,-116.5,BC,Central Kootenay,assigned-contained,CA:5903,,
75,feltia-jaculifera,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
76,agrotis-orthogonia,42.599,-114.759,ID,Twin Falls,assigned-contained,US:16083,,
77,feltia-jaculifera,51.953,-122.402,BC,Cariboo,assigned-contained,CA:5941,,
78,feltia-jaculifera,51.984,-122.428,BC,Cariboo,assigned-contained,CA:5941,,
79,agrotis-orthogonia,42.599,-114.759,ID,Twin Falls,assigned-contained,US:16083,,
80,feltia-jaculifera,48.55,-123.367,BC,Capital,assigned-contained,CA:5917,,
81,agrotis-orthogonia,42.776,-114.703,ID,Gooding,assigned-contained,US:16047,,
82,feltia-jaculifera,48.431,-123.378,BC,Capital,assigned-contained,CA:5917,,
83,agrotis-orthogonia,42.776,-114.703,ID,Gooding,assigned-contained,US:16047,,
84,feltia-jaculifera,51.988,-122.539,BC,Cariboo,assigned-contained,CA:5941,,
85,agrotis-orthogonia,42.599,-114.759,ID,Twin Falls,assigned-contained,US:16083,,
86,feltia-jaculifera,52.167,-122.25,BC,Cariboo,assigned-contained,CA:5941,,
87,agrotis-orthogonia,42.776,-114.703,ID,Gooding,assigned-contained,US:16047,,
88,feltia-jaculifera,48.501,-123.393,BC,Capital,assigned-contained,CA:5917,,
89,feltia-jaculifera,48.493,-123.378,BC,Capital,assigned-contained,CA:5917,,
90,agrotis-orthogonia,49.694,-112.842,AB,,unassigned,,,
91,feltia-jaculifera,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
92,dichagyris-variabilis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
93,feltia-jaculifera,48.443,-123.302,BC,Capital,assigned-contained,CA:5917,,
94,agrotis-longicornis,43.433,-118.983,OR,Harney,assigned-contained,US:41025,,
95,feltia-jaculifera,51.05,-114.083,AB,,unassigned,,,
96,feltia-jaculifera,49.694,-112.842,AB,,unassigned,,,
97,agrotis-longicornis,43.443,-118.974,OR,Harney,assigned-contained,US:41025,,
98,feltia-nigrita,52.467,-116.083,AB,,unassigned,,,
99,malacosoma-disstria,53.659,-111.366,AB,,unassigned,,,
100,feltia-nigrita,52.517,-116.1,AB,,unassigned,,,
101,feltia-mollis,49.775,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
102,feltia-mollis,49.783,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
103,feltia-mollis,49.783,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
104,feltia-mollis,49.775,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
105,agrotis-vetusta,46.065,-118.352,WA,Walla Walla,assigned-contained,US:53071,,
106,feltia-mollis,49,-115.05,BC,East Kootenay,assigned-fallback,CA:5901,0.002,
107,feltia-mollis,52.118,-122.278,BC,Cariboo,assigned-contained,CA:5941,,
108,feltia-mollis,52.197,-122.275,BC,Cariboo,assigned-contained,CA:5941,,
109,agrotis-vetusta,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
110,feltia-mollis,52.152,-122.292,BC,Cariboo,assigned-contained,CA:5941,,
111,feltia-mollis,51.981,-122.466,BC,Cariboo,assigned-contained,CA:5941,,
112,agrotis-vetusta,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
113,agrotis-vetusta,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
114,agrotis-vetusta,46.324,-117.971,WA,Columbia,assigned-contained,US:53013,,
115,agrotis-vetusta,45.486,-120.455,OR,Sherman,assigned-contained,US:41055,,
116,actebia-fennica,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
117,agrotis-vetusta,46.324,-117.971,WA,Columbia,assigned-contained,US:53013,,
118,agrotis-vetusta,46.324,-117.971,WA,Columbia,assigned-contained,US:53013,,
119,feltia-mollis,52.467,-116.083,AB,,unassigned,,,
120,agrotis-vetusta,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
121,peridroma-saucia,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
122,peridroma-saucia,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
123,peridroma-saucia,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
124,peridroma-saucia,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
125,peridroma-saucia,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
126,peridroma-saucia,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
127,peridroma-saucia,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
128,peridroma-saucia,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
129,agrotis-vetusta,49.5,-115.766,BC,East Kootenay,assigned-contained,CA:5901,,
130,peridroma-saucia,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
131,agrotis-vetusta,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
132,peridroma-saucia,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
133,anicla-tepperi,51.05,-114.083,AB,,unassigned,,,
134,agrotis-vetusta,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
135,dichagyris-variabilis,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
136,agrotis-vetusta,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
137,agrotis-vetusta,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
138,dichagyris-variabilis,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
139,agrotis-vetusta,49.333,-117.682,BC,Central Kootenay,assigned-contained,CA:5903,,
140,agrotis-vetusta,49.5,-117.283,BC,Central Kootenay,assigned-contained,CA:5903,,
141,agrotis-vetusta,50.267,-119.266,BC,Okanagan-Similkameen,assigned-contained,CA:5937,,
142,peridroma-saucia,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
143,actebia-fennica,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
144,agrotis-vetusta,49.5,-117.283,BC,Central Kootenay,assigned-contained,CA:5903,,
145,peridroma-saucia,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
146,agrotis-vetusta,49.1,-116.5,BC,Central Kootenay,assigned-contained,CA:5903,,
147,peridroma-saucia,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
148,agrotis-vetusta,49.1,-116.5,BC,Central Kootenay,assigned-contained,CA:5903,,
149,peridroma-saucia,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
150,feltia-herilis,48.959,-117.834,WA,Stevens,assigned-contained,US:53065,,
151,feltia-herilis,48.449,-117.223,WA,Pend Oreille,assigned-contained,US:53051,,
152,peridroma-saucia,49.333,-117.682,BC,Central Kootenay,assigned-contained,CA:5903,,
153,feltia-herilis,47.71,-122.888,WA,Jefferson,assigned-fallback,US:53031,0.053,
154,copablepharon-viridisparsa,49.317,-117.65,BC,Central Kootenay,assigned-contained,CA:5903,,
155,feltia-herilis,46.324,-117.971,WA,Columbia,assigned-contained,US:53013,,
156,epidemas-cinerea,47.66,-119.62,WA,Douglas,assigned-contained,US:53017,,
157,callizzia-amorata,48.547,-118.231,WA,Ferry,assigned-contained,US:53019,,
158,copablepharon-spiritum,48.202,-119.71,WA,Okanogan,assigned-contained,US:53047,,
159,feltia-herilis,42.599,-114.759,ID,Twin Falls,assigned-contained,US:16083,,
160,peridroma-saucia,49.25,-123.116,BC,Greater Vancouver,assigned-contained,CA:5915,,
161,copablepharon-mutans,46.917,-119.9,WA,Grant,assigned-contained,US:53025,,
162,copablepharon-spiritum,42.15,-118.6,OR,Harney,assigned-contained,US:41025,,
163,copablepharon-spiritum,42.467,-118.9,OR,Harney,assigned-contained,US:41025,,
164,copablepharon-atrinotum,42.563,-119.058,OR,Harney,assigned-contained,US:41025,,
165,feltia-herilis,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
166,peridroma-saucia,48.816,-123.613,BC,,assigned-contained,CA:5919,,
167,feltia-herilis,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
168,copablepharon-viridisparsa,47.905,-118.308,WA,Lincoln,assigned-contained,US:53043,,
169,copablepharon-absidum,42.679,-112.987,ID,Power,assigned-contained,US:16077,,
170,copablepharon-absidum,46.555,-118.173,WA,Columbia,assigned-contained,US:53013,,
171,copablepharon-absidum,46.24,-119.099,WA,Franklin,assigned-contained,US:53021,,
172,copablepharon-absidum,46.89,-119.95,WA,Grant,assigned-contained,US:53025,,
173,feltia-jaculifera,51.649,-120.033,BC,Thompson-Nicola,assigned-contained,CA:5933,,
174,copablepharon-absidum,46.378,-120.308,WA,Yakima,assigned-contained,US:53077,,
175,feltia-jaculifera,50.5,-119.833,BC,Thompson-Nicola,assigned-contained,CA:5933,,
176,euxoa-auxiliaris,42.28,-120.19,OR,Lake,assigned-contained,US:41037,,
177,protogygia-album,42.679,-112.987,ID,Power,assigned-contained,US:16077,,
178,feltia-herilis,48.501,-123.393,BC,Capital,assigned-contained,CA:5917,,
179,protogygia-postera,44.844,-117.91,OR,Baker,assigned-contained,US:41001,,
180,feltia-herilis,52.733,-122.117,BC,Cariboo,assigned-contained,CA:5941,,
181,protogygia-postera,43.246,-118.897,OR,Harney,assigned-contained,US:41025,,
182,feltia-herilis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
183,copablepharon-grandis,43.246,-118.897,OR,Harney,assigned-contained,US:41025,,
184,copablepharon-absidum,49.033,-119.45,BC,Okanagan-Similkameen,assigned-contained,CA:5907,,
185,copablepharon-absidum,42.776,-114.703,ID,Gooding,assigned-contained,US:16047,,
186,feltia-herilis,49.2,-124.033,BC,Nanaimo,assigned-contained,CA:5921,,
187,feltia-herilis,48.983,-123.683,BC,Nanaimo,assigned-fallback,CA:5919,0.044,
