species_slug,latitude,longitude,year,outcome,county_before,county_after,district_id_after,notes
idia-americalis,42.32,-123.77,1996,filled,Josephine,Josephine,US:41033,
homorthodes-furfurata,46.575,-120.95,2000,filled,Yakima,Yakima,US:53077,
acronicta-perdita,42.445,-123.694,2007,filled,Josephine,Josephine,US:41033,
mythimna-oxygala,46.733,-116.999,1954,filled,Latah,Latah,US:16057,
agrotis-ipsilon,45.52,-123.109,1920,filled,Washington,Washington,US:41067,
lasionycta-subfuscula,48.74,-120.69,1988,filled,Okanogan,Okanogan,US:53047,
hemileuca-eglanterina,49.6,-114.47,1986,no_match,,,,no reference DB row matched the core key
spaelotis-clandestina,46.172,-117.534,2000,filled,Garfield,Garfield,US:53023,
hypena-humuli,47.613,-122.596,1962,filled,Kitsap,Kitsap,US:53035,
neoligia-tonsa,46.116,-117.338,2000,filled,Asotin,Asotin,US:53003,
perigonica-tertia,45.7,-121.02,1994,filled,Klickitat,Klickitat,US:53039,
clemensia-umbrata,48.87,-123.36,1998,filled,Capital,Capital,CA:5917,
euplexia-benesimilis,47.61,-122.33,1954,filled,King,King,US:53033,
leucania-farcta,43.774,-117.736,2003,filled,Malheur,Malheur,US:41045,
spodoptera-praefica,46.813,-116.92,2007,filled,Latah,Latah,US:16057,
arctia-plantaginis,48.85,-118.95,1966,filled,Okanogan,Okanogan,US:53047,
lophocampa-argentata,47.186,-122.292,1928,filled,Pierce,Pierce,US:53053,
heliothis-phloxiphaga,46.459,-119.017,1957,filled,Franklin,Franklin,US:53021,
lacinipolia-comis,46.716,-116.988,1990,filled,Latah,Latah,US:16057,
gluphisia-severa,47.474,-115.927,1931,filled,Shoshone,Shoshone,US:16079,
gluphisia-septentrionis,45.867,-123.583,1963,filled,Clatsop,Clatsop,US:41007,
autographa-californica,46.9,-121.42,1991,filled,Yakima,Yakima,US:53077,
pyrrharctia-isabella,46.9,-119.94,1992,filled,Grant,Grant,US:53025,
leucania-dia,47.148,-122.148,2010,filled,Pierce,Pierce,US:53053,
acronicta-grisea,46.492,-120.95,1999,filled,Yakima,Yakima,US:53077,
apantesis-nevadensis,46.7027,-119.6206,2002,filled,Grant,Grant,US:53025,
graphiphora-augur,49.6,-121.11,1994,filled,Fraser Valley,Fraser Valley,CA:5909,
euxoa-messoria,45.52,-123.109,1964,filled,Washington,Washington,US:41067,
spilosoma-virginica,49.53,-117.42,2006,filled,Central Kootenay,Central Kootenay,CA:5903,
lasionycta-perplexa,48.71,-118.59,1998,filled,Ferry,Ferry,US:53019,
anarta-trifolii,46.251,-119.901,1958,filled,Yakima,Yakima,US:53077,
sympistis-dunbari,46.062,-118.021,2002,filled,Walla Walla,Walla Walla,US:53071,
spilosoma-vagans,44.18,-118.76,1992,filled,Grant,Grant,US:41023,
euxoa-shasta,46.87,-121.51,1990,filled,Yakima,Yakima,US:53077,
abagrotis-trigona,42.439,-123.328,1968,filled,Josephine,Josephine,US:41033,
pachysphinx-occidentalis,45.812,-118.491,1972,filled,Umatilla,Umatilla,US:41059,
gluphisia-septentrionis,44.027,-116.963,1965,filled,Malheur,Malheur,US:41045,
lacinipolia-cuneata,46.92,-122.85,1995,filled,Thurston,Thurston,US:53067,
spilosoma-pteridis,46.857,-122.852,1972,filled,Thurston,Thurston,US:53067,
hypena-californica,47.606,-122.332,1966,filled,King,King,US:53033,
sympistis-augustus,48.22,-119.64,1992,filled,Okanogan,Okanogan,US:53047,
helotropha-reniformis,48.59,-123.02,1995,filled,San Juan,San Juan,US:53055,
caradrina-montana,45.468,-116.554,1990,filled,Idaho,Idaho,US:16049,
sympistis-major,49.183,-119.583,1996,filled,Okanagan-Similkameen,Okanagan-Similkameen,CA:5907,
schinia-acutilinea,46.692,-119.591,2002,filled,Grant,Grant,US:53025,
drasteria-divergens,46.324,-117.971,1955,filled,Columbia,Columbia,US:53013,
spilosoma-virginica,45.3,-118.312,2010,filled,Union,Union,US:41061,
xestia-perquiritata,47.074,-121.061,2007,filled,Kittitas,Kittitas,US:53037,
litholomia-napaea,46.324,-117.971,1956,filled,Columbia,Columbia,US:53013,
lithophane-petulca,48.59,-120.59,1995,filled,Okanogan,Okanogan,US:53047,
sympistis-albifasciata,47.22,-120.58,1987,filled,Kittitas,Kittitas,US:53037,
pleromelloida-conserta,46.32,-117.97,1956,filled,Columbia,Columbia,US:53013,
pyrrharctia-isabella,45.898,-118.306,1967,filled,Umatilla,Umatilla,US:41059,
lasionycta-promulsa,50.47,-116.29,1994,filled,East Kootenay,East Kootenay,CA:5901,
euclidia-ardita,46.731,-117.179,,filled,Whitman,Whitman,US:53075,
andropolia-diversilineata,47.6,-120.17,1992,filled,Douglas,Douglas,US:53017,
lacinipolia-comis,46.324,-117.971,1958,filled,Columbia,Columbia,US:53013,
sympistis-coprocolor,50.53,-121.71,1999,filled,Thompson-Nicola,Thompson-Nicola,CA:5933,
proserpinus-clarkiae,45,-119.4,1965,filled,Morrow,Morrow,US:41049,
agrochola-purpurea,44.908,-122.886,1971,filled,Marion,Marion,US:41047,
adelphagrotis-stellaris,48.75,-123.4,1998,filled,Capital,Capital,CA:5917,
caradrina-morpheus,48.38,-122.66,1995,filled,Island,Island,US:53029,
abagrotis-orbis,46.286,-119.283,1993,filled,Benton,Benton,US:53005,
cerastis-enigmatica,45.866,-123.594,1967,filled,Clatsop,Clatsop,US:41007,
euxoa-tessellata,44.461,-121.64,1976,filled,Jefferson,Jefferson,US:41031,
apamea-zeta,48.742,-120.679,1966,filled,Okanogan,Okanogan,US:53047,
clemensia-umbrata,46.65,-116.2,1997,filled,Clearwater,Clearwater,US:16035,
drasteria-howlandii,46.086,-118.904,1960,filled,Walla Walla,Walla Walla,US:53071,
polia-piniae,48.86,-117.08,2002,filled,Pend Oreille,Pend Oreille,US:53051,
xestia-c-nigrum,45.35,-122.683,1982,filled,Clackamas,Clackamas,US:41005,
protodeltote-albidula,49.53,-117.42,1992,filled,Central Kootenay,Central Kootenay,CA:5903,
admetovis-oxymorus,47.9,-118.495,2004,filled,Ferry,Ferry,US:53019,
aseptis-characta,43.873,-116.499,1927,filled,Gem,Gem,US:16045,
tesagrotis-corrodera,45.99,-120.66,2000,filled,Klickitat,Klickitat,US:53039,
dargida-procinctus,48.49,-122.69,1995,filled,Skagit,Skagit,US:53057,
acronicta-impressa,52.322,-112.883,2001,no_match,,,,no reference DB row matched the core key
cycnia-oregonensis,45.996,-116.914,2001,filled,Nez Perce,Nez Perce,US:16069,
protolampra-rufipectus,51.77,-116.56,1994,no_match,,,,no reference DB row matched the core key
pseudothyatira-cymatophoroides,45.749,-116.194,1979,filled,Idaho,Idaho,US:16049,
phragmatobia-fuliginosa,44.841,-122.871,1963,filled,Marion,Marion,US:41047,
nadata-gibbosa,45.813,-120.53,2000,filled,Klickitat,Klickitat,US:53039,
polia-purpurissata,46.094,-117.846,1960,filled,Columbia,Columbia,US:53013,
apamea-scoparia,48.547,-117.906,1907,filled,Stevens,Stevens,US:53065,
protogygia-enalaga,47.58,-119.34,1998,filled,Grant,Grant,US:53025,
eurois-astricta,45.325,-118.087,1967,filled,Union,Union,US:41061,
euxoa-divergens,45.21,-123.198,1944,filled,Yamhill,Yamhill,US:41071,
cucullia-omissa,46.324,-117.971,1960,filled,Columbia,Columbia,US:53013,
proxenus-mindara,43.868,-117.454,2007,filled,Malheur,Malheur,US:41045,
eurois-astricta,47.8117,-120.7228,2007,filled,Chelan,Chelan,US:53007,
epidemas-obscurus,48.59,-123.02,1995,filled,San Juan,San Juan,US:53055,
proserpinus-flavofasciata,44.406,-122.067,1985,filled,Linn,Linn,US:41043,
cosmia-elisae,48,-119.62,1996,filled,Okanogan,Okanogan,US:53047,
apamea-cogitata,46.52,-122.82,1990,filled,Lewis,Lewis,US:53041,
drasteria-hastingsii,46.523,-119.353,1996,filled,Benton,Benton,US:53005,
autographa-corusca,47.613,-122.596,1959,filled,Kitsap,Kitsap,US:53035,
xestia-c-nigrum,43.233,-122.45,1997,filled,Douglas,Douglas,US:41019,
nedra-stewarti,46.827,-123.014,1997,filled,Thurston,Thurston,US:53067,
orthodes-noverca,44.518,-117.862,2007,filled,Baker,Baker,US:41001,
pyrrharctia-isabella,49.05,-116.47,,filled,Central Kootenay,Central Kootenay,CA:5903,
pseudanarta-caeca,46.593,-119.379,2002,filled,Grant,Grant,US:53025,
mesogona-rubra,42.442,-123.729,2003,filled,Josephine,Josephine,US:41033,
phlogophora-periculosa,47.606,-122.332,,filled,King,King,US:53033,
schinia-biundulata,46.521,-119.35,2000,filled,Benton,Benton,US:53005,
lophocampa-maculata,44.461,-121.64,1976,filled,Jefferson,Jefferson,US:41031,
dargida-diffusa,42.563,-114.46,1958,filled,Twin Falls,Twin Falls,US:16083,
phyllodesma-americana,49.533,-117.417,1998,filled,Central Kootenay,Central Kootenay,CA:5903,
polia-piniae,47.55,-120.768,2001,filled,Chelan,Chelan,US:53007,
pleromelloida-conserta,49.04,-121.08,1994,filled,Fraser Valley,Fraser Valley,CA:5909,
anarta-trifolii,48.22,-119.64,1993,filled,Okanogan,Okanogan,US:53047,
schinia-unimacula,46.324,-117.971,1968,filled,Columbia,Columbia,US:53013,
hyles-lineata,44.881,-115.938,1952,filled,Valley,Valley,US:16085,
lacinipolia-cuneata,48.69,-122.49,1993,filled,Whatcom,Whatcom,US:53073,
heliocheilus-paradoxus,42.679,-112.987,2010,filled,Power,Power,US:16077,
sympistis-major,48.06,-119.68,1995,filled,Douglas,Douglas,US:53017,
catocala-semirelicta,47.474,-115.927,1923,filled,Shoshone,Shoshone,US:16079,
euxoa-atomaris,43.312,-118.795,1935,filled,Harney,Harney,US:41025,
spilosoma-vagans,46.917,-117.251,2000,filled,Whitman,Whitman,US:53075,
autographa-ampla,48.86,-117.08,2007,filled,Pend Oreille,Pend Oreille,US:53051,
paonias-excaecatus,44.046,-123.022,1983,filled,Lane,Lane,US:41039,
ponometia-sutrix,42.78,-114.7,1962,filled,Gooding,Gooding,US:16047,
hyles-lineata,42.534,-114.364,1972,filled,Twin Falls,Twin Falls,US:16083,
sideridis-fuscolutea,46.596,-119.439,1997,filled,Benton,Benton,US:53005,
annaphila-arvalis,45.7,-121.02,1989,filled,Klickitat,Klickitat,US:53039,
sphinx-sequoiae,42.189,-120.346,,filled,Lake,Lake,US:41037,
peridroma-saucia,44.217,-122.233,1994,filled,Lane,Lane,US:41039,
abagrotis-baueri,45.864,-122.805,,filled,Columbia,Columbia,US:41009,
cosmia-praeacuta,47.64,-122.828,1961,filled,Kitsap,Kitsap,US:53035,
cucullia-pulla,46.88,-120.57,1988,filled,Kittitas,Kittitas,US:53037,
zale-minerea,45.829,-121.706,2005,filled,Skamania,Skamania,US:53059,
xestia-smithii,44.461,-121.64,1977,filled,Jefferson,Jefferson,US:41031,
acronicta-insita,53.55,-113.47,1928,no_match,,,,no reference DB row matched the core key
gluphisia-severa,46.72,-120.81,1988,filled,Yakima,Yakima,US:53077,
lacinipolia-comis,48.69,-122.49,1993,filled,Whatcom,Whatcom,US:53073,
phyllodesma-americana,48.933,-118.61,2014,filled,Ferry,Ferry,US:53019,
pleromelloida-cinerea,46.492,-120.95,1997,filled,Yakima,Yakima,US:53077,
helotropha-reniformis,46.54,-120.45,1998,filled,Yakima,Yakima,US:53077,
behrensia-conchiformis,47.05,-124.09,1991,filled,Grays Harbor,Grays Harbor,US:53027,
euxoa-simona,44.483,-120.433,1965,filled,Crook,Crook,US:41013,
ufeus-satyricus,46.731,-117.179,1948,filled,Whitman,Whitman,US:53075,
schinia-acutilinea,42.6,-114.76,1957,filled,Twin Falls,Twin Falls,US:16083,
furcula-cinereoides,48.134,-120.004,2013,filled,Okanogan,Okanogan,US:53047,
trichordestra-liquida,47.681,-117.282,1957,filled,Spokane,Spokane,US:53063,
hyles-gallii,49.1,-116.45,1980,filled,Central Kootenay,Central Kootenay,CA:5903,
cucullia-florea,49.53,-117.42,1977,filled,Central Kootenay,Central Kootenay,CA:5903,
agrochola-purpurea,49.1,-116.45,1981,filled,Central Kootenay,Central Kootenay,CA:5903,
euxoa-plagigera,48.65,-122.83,1996,filled,San Juan,San Juan,US:53055,
mamestra-configurata,47.474,-115.927,1929,filled,Shoshone,Shoshone,US:16079,
hyalophora-euryalus,49.533,-117.417,1988,filled,Central Kootenay,Central Kootenay,CA:5903,
leucania-commoides,47.58,-119.34,1996,filled,Grant,Grant,US:53025,
autographa-mappa,47.613,-122.596,1960,filled,Kitsap,Kitsap,US:53035,
epidemas-cinerea,42.18,-119.91,2001,filled,Lake,Lake,US:41037,
pyrrharctia-isabella,47.613,-122.596,1961,filled,Kitsap,Kitsap,US:53035,
xestia-infimatis,42.974,-117.054,1968,filled,Malheur,Malheur,US:41045,
sympistis-greyi,48.551,-118.232,2010,filled,Ferry,Ferry,US:53019,
anarta-trifolii,46.78,-118.53,1999,filled,Adams,Adams,US:53001,
raphia-frater,52.322,-112.883,2001,no_match,,,,no reference DB row matched the core key
cosmia-praeacuta,48.68,-122.48,1995,filled,Whatcom,Whatcom,US:53073,
diarsia-esurialis,46.08,-122.32,1994,filled,Cowlitz,Cowlitz,US:53015,
apamea-sora,45.265,-117.22,2007,filled,Wallowa,Wallowa,US:41063,
agrotis-vancouverensis,47.148,-122.148,2010,filled,Pierce,Pierce,US:53053,
hypena-humuli,47.613,-122.596,1960,filled,Kitsap,Kitsap,US:53035,
arctia-caja,44.849,-123.233,1967,filled,Polk,Polk,US:41053,
hyles-lineata,49.4,-117.22,1973,filled,Central Kootenay,Central Kootenay,CA:5903,
ctenucha-rubroscapus,45.461,-123.967,1927,filled,Tillamook,Tillamook,US:41057,
xestia-oblata,48.73,-120.66,1987,filled,Whatcom,Whatcom,US:53073,
cryphia-cuerva,43.774,-117.736,2001,filled,Malheur,Malheur,US:41045,
lacinipolia-pensilis,46.601,-119.546,1997,filled,Benton,Benton,US:53005,
lithomoia-germana,47.05,-124.09,1991,filled,Grays Harbor,Grays Harbor,US:53027,
nedra-stewarti,46.92,-122.85,1990,filled,Thurston,Thurston,US:53067,
feltia-jaculifera,46.09,-118.102,2002,filled,Walla Walla,Walla Walla,US:53071,
euplexia-benesimilis,49.12,-116.16,1994,filled,Central Kootenay,Central Kootenay,CA:5903,
hyles-gallii,47.681,-117.282,1957,filled,Spokane,Spokane,US:53063,
caradrina-meralis,46.695,-121.111,2001,filled,Yakima,Yakima,US:53077,
lithophane-innominata,47.474,-115.927,1941,filled,Shoshone,Shoshone,US:16079,
xestia-plebeia,48.62,-122.67,2004,filled,Skagit,Skagit,US:53057,
malacosoma-californicum,43.284,-111.216,2004,filled,Bonneville,Bonneville,US:16019,
hypena-californica,47.474,-115.927,1915,filled,Shoshone,Shoshone,US:16079,
schinia-acutilinea,46.95,-120.05,1993,filled,Kittitas,Kittitas,US:53037,
acronicta-funeralis,46.094,-117.846,1967,filled,Columbia,Columbia,US:53013,
cerastis-enigmatica,48.69,-122.49,1995,filled,Whatcom,Whatcom,US:53073,
xestia-c-nigrum,44.461,-121.64,1976,filled,Jefferson,Jefferson,US:41031,
orthosia-praeses,48.59,-123.02,1996,filled,San Juan,San Juan,US:53055,
orthodes-noverca,46.5074,-119.6981,1998,filled,Benton,Benton,US:53005,
apamea-niveivenosa,46.568,-117.128,1985,filled,Whitman,Whitman,US:53075,
sphinx-vashti,48.45,-119.08,1988,filled,Okanogan,Okanogan,US:53047,
drasteria-hastingsii,46.523,-119.353,1996,filled,Benton,Benton,US:53005,
euthyatira-lorata,42.11,-124.19,1999,filled,Curry,Curry,US:41015,
copablepharon-mutans,46.942,-119.908,2002,filled,Grant,Grant,US:53025,
apantesis-ornata,46.324,-117.971,1956,filled,Columbia,Columbia,US:53013,
feltia-jaculifera,49.694,-112.842,1946,no_match,,,,no reference DB row matched the core key
lithophane-dilatocula,45.72,-121.34,1994,filled,Klickitat,Klickitat,US:53039,
anathix-puta,47.142,-120.739,2008,filled,Kittitas,Kittitas,US:53037,
cosmia-elisae,50.53,-121.71,2002,filled,Thompson-Nicola,Thompson-Nicola,CA:5933,
drepana-bilineata,49.28,-124.12,1995,filled,Nanaimo,Nanaimo,CA:5921,
euxoa-divergens,47.074,-121.061,2007,filled,Kittitas,Kittitas,US:53037,
idia-americalis,48.648,-119.464,1962,filled,Okanogan,Okanogan,US:53047,
stretchia-plusiaeformis,44.37,-121.13,1992,filled,Deschutes,Deschutes,US:41017,
clemensia-umbrata,44.593,-123.404,1998,filled,Benton,Benton,US:41003,
litholomia-napaea,48.59,-120.6,1994,filled,Okanogan,Okanogan,US:53047,
lasionycta-subfuscula,47.99,-120.39,1989,filled,Chelan,Chelan,US:53007,
euxoa-latro,44,-121.333,1965,filled,Deschutes,Deschutes,US:41017,
lacinipolia-davena,47.01,-123.22,1987,filled,Mason,Mason,US:53045,
caradrina-montana,48.55,-118.229,2010,filled,Ferry,Ferry,US:53019,
resapamea-passer,47.613,-122.596,1960,filled,Kitsap,Kitsap,US:53035,
anarta-crotchii,47.733,-118.314,1997,filled,Lincoln,Lincoln,US:53043,
drasteria-perplexa,46.78,-118.532,2004,filled,Adams,Adams,US:53001,
caradrina-camina,47.642,-120.145,2003,filled,Douglas,Douglas,US:53017,
spilosoma-virginica,47.16,-124.1,1990,filled,Grays Harbor,Grays Harbor,US:53027,
anathix-puta,47.474,-115.927,1932,filled,Shoshone,Shoshone,US:16079,
euxoa-laetificans,43.542,-119.504,1928,filled,Harney,Harney,US:41025,
catocala-junctura,46.286,-119.283,1969,filled,Benton,Benton,US:53005,
acronicta-marmorata,46.492,-120.95,2003,filled,Yakima,Yakima,US:53077,
leucania-anteroclara,46.324,-117.971,1964,filled,Columbia,Columbia,US:53013,
dasychira-grisefacta,47.613,-122.596,1962,filled,Kitsap,Kitsap,US:53035,
schinia-unimacula,43.24,-120.64,,filled,Lake,Lake,US:41037,
panthea-virginarius,49.1,-116.45,1983,filled,Central Kootenay,Central Kootenay,CA:5903,
pleromelloida-conserta,46.731,-117.179,1895,filled,Whitman,Whitman,US:53075,
schinia-biundulata,46.5228,-119.3532,2000,filled,Benton,Benton,US:53005,
dasychira-grisefacta,45.867,-123.583,1968,filled,Clatsop,Clatsop,US:41007,
cucullia-florea,46.03,-117.92,1968,filled,Columbia,Columbia,US:53013,
lacinipolia-comis,46.716,-116.988,2000,filled,Latah,Latah,US:16057,
setagrotis-radiola,42.233,-120.167,1965,filled,Lake,Lake,US:41037,
sympistis-barnesii,48.84,-121.68,1994,filled,Whatcom,Whatcom,US:53073,
heliothis-phloxiphaga,43.888,-117.362,1997,filled,Malheur,Malheur,US:41045,
lacinipolia-stricta,49.533,-117.417,1998,filled,Central Kootenay,Central Kootenay,CA:5903,
abagrotis-scopeops,44.217,-122.233,1994,filled,Lane,Lane,US:41039,
anhimella-contrahens,46.665,-119.359,2002,filled,Franklin,Franklin,US:53021,
leucoma-salicis,47.606,-122.332,1930,filled,King,King,US:53033,
cucullia-strigata,46.523,-119.353,1996,filled,Benton,Benton,US:53005,
sympistis-poliochroa,44.517,-117.918,2001,filled,Baker,Baker,US:41001,
autographa-mappa,48.65,-122.83,1997,filled,San Juan,San Juan,US:53055,
apamea-indocilis,47.613,-122.596,1963,filled,Kitsap,Kitsap,US:53035,
lygephila-victoria,46.324,-117.971,1955,filled,Columbia,Columbia,US:53013,
euclidia-ardita,47.15,-120.197,2005,filled,Chelan,Chelan,US:53007,
nola-minna,48.69,-122.49,1993,filled,Whatcom,Whatcom,US:53073,
cryphia-cuerva,44.54,-117.66,2001,filled,Baker,Baker,US:41001,
schinia-sexplagiata,46.324,-117.971,1955,filled,Columbia,Columbia,US:53013,
bleptina-caradrinalis,48.65,-122.83,1996,filled,San Juan,San Juan,US:53055,
malacosoma-californicum,42.95,-123.364,1936,filled,Douglas,Douglas,US:41019,
diarsia-rosaria,44.6,-124.06,1990,filled,Lincoln,Lincoln,US:41041,
lophocampa-maculata,47.381,-122.235,1971,filled,King,King,US:53033,
hyles-lineata,46.733,-116.999,1954,filled,Latah,Latah,US:16057,
caradrina-montana,43.417,-113.517,1965,filled,Butte,Butte,US:16023,
dichagyris-variabilis,44.565,-123.261,1957,filled,Benton,Benton,US:41003,
apantesis-ornata,46.583,-120.967,1988,filled,Kittitas,Kittitas,US:53037,
ponometia-sutrix,42.599,-114.759,1961,filled,Twin Falls,Twin Falls,US:16083,
euxoa-mimallonis,42.167,-120.25,1968,filled,Lake,Lake,US:41037,
sympistis-youngi,48.735,-121.037,2007,filled,Whatcom,Whatcom,US:53073,
agrotis-vancouverensis,44.565,-123.261,1935,filled,Benton,Benton,US:41003,
leucania-farcta,47.6,-120.13,1994,filled,Douglas,Douglas,US:53017,
bruceia-pulverina,45.996,-116.914,2001,filled,Nez Perce,Nez Perce,US:16069,
mythimna-oxygala,47.613,-122.596,1960,filled,Kitsap,Kitsap,US:53035,
lygephila-victoria,47.71,-122.89,1995,filled,Jefferson,Jefferson,US:53031,
hadenella-pergentilis,43.774,-117.736,2001,filled,Malheur,Malheur,US:41045,
agrochola-pulchella,48.051,-119.902,1937,filled,Okanogan,Okanogan,US:53047,
catocala-junctura,42.563,-114.46,1970,filled,Twin Falls,Twin Falls,US:16083,
proxenus-miranda,49.1,-116.45,1983,filled,Central Kootenay,Central Kootenay,CA:5903,
euxoa-vallus,52.18,-117.1,1994,no_match,,,,no reference DB row matched the core key
lasionycta-mutilata,47.967,-123.5,,filled,Clallam,Clallam,US:53009,
noctua-pronuba,47.149,-124.187,2010,filled,Grays Harbor,Grays Harbor,US:53027,
pseudanarta-sp,43.417,-113.517,1967,filled,Butte,Butte,US:16023,
sphinx-sequoiae,42.24,-123.67,1993,filled,Josephine,Josephine,US:41033,
agrotis-vancouverensis,45.505,-122.797,1964,filled,Washington,Washington,US:41067,
anarta-trifolii,47.681,-117.282,1957,filled,Spokane,Spokane,US:53063,
drasteria-ochracea,44.55,-117.666,2007,filled,Baker,Baker,US:41001,
spiramater-lutra,48.69,-122.49,1993,filled,Whatcom,Whatcom,US:53073,
drasteria-howlandii,46.103,-117.271,2003,filled,Asotin,Asotin,US:53003,
abagrotis-mirabilis,44.461,-121.64,1981,filled,Jefferson,Jefferson,US:41031,
malacosoma-californicum,44.565,-123.261,1980,filled,Benton,Benton,US:41003,
paonias-excaecatus,49.1,-116.45,1988,filled,Central Kootenay,Central Kootenay,CA:5903,
tolype-distincta,48.907,-118.141,2014,filled,Stevens,Stevens,US:53065,
catocala-junctura,46.211,-119.136,1981,filled,Benton,Benton,US:53005,
annaphila-diva,45.78,-118.09,1962,filled,Umatilla,Umatilla,US:41059,
oligia-rampartensis,46.733,-116.999,1953,filled,Latah,Latah,US:16057,
fishia-illocata,47.474,-115.927,1926,filled,Shoshone,Shoshone,US:16079,
malacosoma-californicum,43.217,-121.516,1958,filled,Klamath,Klamath,US:41035,
drasteria-ochracea,45.813,-120.53,2000,filled,Klickitat,Klickitat,US:53039,
xestia-xanthographa,45.866,-123.594,1989,filled,Clatsop,Clatsop,US:41007,
lacanobia-grandis,49.533,-117.417,1994,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,44.565,-123.261,,filled,Benton,Benton,US:41003,
homorthodes-communis,48.86,-117.08,2002,filled,Pend Oreille,Pend Oreille,US:53051,
diarsia-rosaria,45.867,-123.583,1964,filled,Clatsop,Clatsop,US:41007,
acronicta-insita,49.1,-116.45,1984,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-ipsilon,43,-119.995,2001,filled,Lake,Lake,US:41037,
leptarctia-californiae,43.747,-122.461,1982,filled,Lane,Lane,US:41039,
mamestra-configurata,48.65,-122.83,1998,filled,San Juan,San Juan,US:53055,
schinia-mortua,42.776,-114.703,1964,filled,Gooding,Gooding,US:16047,
orgyia-antiqua,47.606,-122.332,1974,filled,King,King,US:53033,
catocala-faustina,48.051,-119.902,1931,filled,Okanogan,Okanogan,US:53047,
idia-occidentalis,47.59,-119.39,1984,filled,Grant,Grant,US:53025,
apamea-longula,46.731,-117.179,1898,filled,Whitman,Whitman,US:53075,
drasteria-ochracea,47.15,-120.197,1998,filled,Chelan,Chelan,US:53007,
acronicta-insita,45.866,-123.594,1986,filled,Clatsop,Clatsop,US:41007,
caenurgina-erechtea,47.681,-117.282,1957,filled,Spokane,Spokane,US:53063,
lasionycta-promulsa,50.209,-114.458,1994,no_match,,,,no reference DB row matched the core key
abagrotis-trigona,44.677,-121.719,1994,filled,Jefferson,Jefferson,US:41031,
dichagyris-variabilis,44.461,-121.64,1981,filled,Jefferson,Jefferson,US:41031,
agrotis-vancouverensis,44.583,-123.417,1999,filled,Benton,Benton,US:41003,
syngrapha-angulidens,52.77,-118.03,1994,no_match,,,,no reference DB row matched the core key
hadena-ectrapela,48.1,-119.65,1999,filled,Okanagan-Similkameen,Okanagan-Similkameen,CA:5907,
protodeltote-albidula,46.46,-122.88,1990,filled,Lewis,Lewis,US:53041,
protogygia-comstocki,43,-119.995,2002,filled,Lake,Lake,US:41037,
euxoa-setonia,44.55,-117.666,2003,filled,Baker,Baker,US:41001,
xestia-c-nigrum,42.32,-123.77,1996,filled,Josephine,Josephine,US:41033,
euxoa-bochus,44.634,-121.128,1989,filled,Jefferson,Jefferson,US:41031,
xestia-c-nigrum,47.606,-122.331,,filled,King,King,US:53033,
arctia-parthenos,46.63,-115.808,1934,filled,Clearwater,Clearwater,US:16035,
lasionycta-mutilata,46.9,-121.42,1991,filled,Yakima,Yakima,US:53077,
furcula-scolopendrina,47.613,-122.596,1960,filled,Kitsap,Kitsap,US:53035,
acerra-normalis,45.84,-120.53,1989,filled,Klickitat,Klickitat,US:53039,
tesagrotis-piscipellis,48.64,-120.46,1997,filled,Okanogan,Okanogan,US:53047,
egira-dolosa,47.49,-121.79,1994,filled,King,King,US:53033,
apantesis-ornata,46.4597,-119.7208,1998,filled,Benton,Benton,US:53005,
euxoa-costata,50.53,-121.71,2002,filled,Thompson-Nicola,Thompson-Nicola,CA:5933,
lasionycta-mutilata,48.73,-120.66,1991,filled,Whatcom,Whatcom,US:53073,
peridroma-saucia,45.391,-122.611,1935,filled,Clackamas,Clackamas,US:41005,
euthyatira-semicircularis,47.642,-120.145,2006,filled,Douglas,Douglas,US:53017,
ipimorpha-pleonectusa,49.533,-117.417,1998,filled,Central Kootenay,Central Kootenay,CA:5903,
drasteria-hastingsii,46.085,-118.905,1957,filled,Walla Walla,Walla Walla,US:53071,
spilosoma-vestalis,44.593,-123.404,2000,filled,Benton,Benton,US:41003,
leptarctia-californiae,49.08,-117.62,1997,filled,Kootenay Boundary,Kootenay Boundary,CA:5905,
nedra-stewarti,46.42,-117.02,1959,filled,Nez Perce,Nez Perce,US:16069,
egira-rubrica,47.613,-122.596,1961,filled,Kitsap,Kitsap,US:53035,
raphia-frater,46.7,-116.999,1992,filled,Latah,Latah,US:16057,
habrosyne-scripta,47.613,-122.596,1959,filled,Kitsap,Kitsap,US:53035,
pleromelloida-cinerea,47.16,-120.61,1988,filled,Kittitas,Kittitas,US:53037,
autographa-v-alba,46.79,-121.09,2003,filled,Yakima,Yakima,US:53077,
xestia-oblata,44.217,-122.233,1995,filled,Lane,Lane,US:41039,
mythimna-oxygala,46.54,-120.45,1992,filled,Yakima,Yakima,US:53077,
orthodes-goodelli,46.324,-117.971,1966,filled,Columbia,Columbia,US:53013,
hadena-ectrapela,46.79,-121.09,2005,filled,Yakima,Yakima,US:53077,
apamea-devastator,48.76,-122.488,1963,filled,Whatcom,Whatcom,US:53073,
caradrina-montana,46.701,-119.638,2002,filled,Grant,Grant,US:53025,
helicoverpa-zea,46.602,-120.505,1958,filled,Yakima,Yakima,US:53077,
cosmia-praeacuta,47.606,-122.332,1978,filled,King,King,US:53033,
feltia-herilis,45.866,-123.594,1969,filled,Clatsop,Clatsop,US:41007,
