species_slug,latitude,longitude,year,outcome,county_before,county_after,district_id_after,notes
agrotis-venerabilis,49.775,-115.733,1997,filled,East Kootenay,East Kootenay,CA:5901,
feltia-jaculifera,49.5,-117.283,1966,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-venerabilis,49.775,-115.733,1997,filled,East Kootenay,East Kootenay,CA:5901,
feltia-jaculifera,49.333,-117.682,1943,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,49.117,-116.163,1993,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-venerabilis,49.217,-117.683,1991,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,49.117,-116.163,1992,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,49.283,-124.366,,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-venerabilis,49.1,-116.45,1986,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,49.1,-116.45,1982,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-venerabilis,51.97,-122.319,1996,filled,Cariboo,Cariboo,CA:5941,
feltia-jaculifera,49.1,-116.45,1980,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-venerabilis,49.1,-116.45,1980,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,49.1,-116.45,1980,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-venerabilis,51.927,-122.337,1996,filled,Cariboo,Cariboo,CA:5941,
feltia-jaculifera,49.1,-116.5,1975,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,49.1,-116.45,1980,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-orthogonia,42.599,-114.759,1961,filled,Twin Falls,Twin Falls,US:16083,
feltia-jaculifera,51.953,-122.402,1996,filled,Cariboo,Cariboo,CA:5941,
feltia-jaculifera,51.984,-122.428,1996,filled,Cariboo,Cariboo,CA:5941,
agrotis-orthogonia,42.599,-114.759,1961,filled,Twin Falls,Twin Falls,US:16083,
feltia-jaculifera,48.55,-123.367,,filled,Capital,Capital,CA:5917,
agrotis-orthogonia,42.776,-114.703,1964,filled,Gooding,Gooding,US:16047,
feltia-jaculifera,48.431,-123.378,,filled,Capital,Capital,CA:5917,
agrotis-orthogonia,42.776,-114.703,1965,filled,Gooding,Gooding,US:16047,
feltia-jaculifera,51.988,-122.539,1996,filled,Cariboo,Cariboo,CA:5941,
agrotis-orthogonia,42.599,-114.759,1961,filled,Twin Falls,Twin Falls,US:16083,
feltia-jaculifera,52.167,-122.25,1990,filled,Cariboo,Cariboo,CA:5941,
agrotis-orthogonia,42.776,-114.703,1963,filled,Gooding,Gooding,US:16047,
feltia-jaculifera,48.501,-123.393,,filled,Capital,Capital,CA:5917,
feltia-jaculifera,48.493,-123.378,,filled,Capital,Capital,CA:5917,
agrotis-orthogonia,49.694,-112.842,1923,no_match,,,,no reference DB row matched the core key
feltia-jaculifera,49.533,-117.417,2006,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,49.1,-116.45,1985,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,48.443,-123.302,,filled,Capital,Capital,CA:5917,
agrotis-longicornis,43.433,-118.983,1998,filled,Harney,Harney,US:41025,
feltia-jaculifera,51.05,-114.083,,no_match,,,,no reference DB row matched the core key
feltia-jaculifera,49.694,-112.842,,no_match,,,,no reference DB row matched the core key
agrotis-longicornis,43.443,-118.974,1963,filled,Harney,Harney,US:41025,
feltia-nigrita,52.467,-116.083,,no_match,,,,no reference DB row matched the core key
malacosoma-disstria,53.659,-111.366,,no_match,,,,no reference DB row matched the core key
feltia-nigrita,52.517,-116.1,1998,no_match,,,,no reference DB row matched the core key
