P No,New P No,MONA,Genus_Species,Author with Year,Common Name,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,MPG URL,Taxonomic Note,Synonymy,P No 2016
010001,,0001,Epimartyria auricrinella,"Walsingham, 1898",Goldcap Moss-eater,Micropterigoidea,Micropterigidae,,,,Epimartyria,auricrinella,https://mothphotographersgroup.msstate.edu/species.php?hodges=1,,"Epimartyria auricrinella Walsingham, 1898",10001
010002,,0001.1,Epimartyria bimaculella,"Davis & Landry, 2012",,Micropterigoidea,Micropterigidae,,,,Epimartyria,bimaculella,https://mothphotographersgroup.msstate.edu/species.php?hodges=1.1,"Epimartyria bimaculella Davis & Landry, 2012, n. sp., ZooKeys, 183: 63; figs 2, 6-7, 11, 32, 81-87.","Epimartyria bimaculella Davis & Landry, 2012",10002
010003,,0002,Epimartyria pardella,"Walsingham, 1880",,Micropterigoidea,Micropterigidae,,,,Epimartyria,pardella,https://mothphotographersgroup.msstate.edu/species.php?hodges=2,,"Epimartyria pardella Walsingham, 1880",10003
070001,,0003,Dyseriocrania griseocapitella,"(Walsingham, 1898)",Chinquapin Leaf-miner,Eriocranioidea,Eriocraniidae,,,,Dyseriocrania,griseocapitella,https://mothphotographersgroup.msstate.edu/species.php?hodges=3,,"Eriocrania griseocapitella Walsingham, 1898
Dyseriocrania auricrinella of authors not Fracker, 1930",70001
070002,,0004,Dyseriocrania auricyanea,"(Walsingham, 1882)",,Eriocranioidea,Eriocraniidae,,,,Dyseriocrania,auricyanea,https://mothphotographersgroup.msstate.edu/species.php?hodges=4,,"Micropteryx auricyanea Walsingham, 1882
Eriocrania cyanosparsella Williams, 1908",70002
070003,,0005,Eriocrania semipurpurella,"(Stephens, 1834)",Purplish Birch-miner,Eriocranioidea,Eriocraniidae,,,,Eriocrania,semipurpurella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5,,"Lampronia semipurpurella Stephens, 1834
Micropteryx amentella Zeller, 1850
Micropteryx inconspicuella Wood, 1890
Eriocrania pacifica Davis, 1978",70003
070004,,0006,Eriocrania breviapex,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocrania,breviapex,https://mothphotographersgroup.msstate.edu/species.php?hodges=6,,"Eriocrania breviapex Davis, 1978",70004
070005,,0007,Eriocraniella aurosparsella,"(Walsingham, 1880)",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,aurosparsella,https://mothphotographersgroup.msstate.edu/species.php?hodges=7,,"Micropteryx aurosparsella Walsingham, 1880",70005
070006,,0008,Eriocraniella xanthocara,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,xanthocara,https://mothphotographersgroup.msstate.edu/species.php?hodges=8,,"Eriocraniella xanthocara Davis, 1978",70006
070007,,0009,Eriocraniella longifurcula,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,longifurcula,https://mothphotographersgroup.msstate.edu/species.php?hodges=9,,"Eriocraniella longifurcula Davis, 1978",70007
070008,,0010,Eriocraniella platyptera,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,platyptera,https://mothphotographersgroup.msstate.edu/species.php?hodges=10,,"Eriocraniella platyptera Davis, 1978",70008
070009,,0011,Eriocraniella variegata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,variegata,https://mothphotographersgroup.msstate.edu/species.php?hodges=11,,"Eriocraniella variegata Davis, 1978",70009
070010,,0012,Eriocraniella trigona,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,trigona,https://mothphotographersgroup.msstate.edu/species.php?hodges=12,,"Eriocraniella trigona Davis, 1978",70010
070011,,0013,Eriocraniella falcata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,falcata,https://mothphotographersgroup.msstate.edu/species.php?hodges=13,,"Eriocraniella falcata Davis, 1978",70011
070012,,0013.1,Eriocraniella mediabulla,"Davis & Faeth, 1986",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,mediabulla,https://mothphotographersgroup.msstate.edu/species.php?hodges=13.1,,"Eriocraniella mediabulla Davis & Faeth, 1986",70012
070013,,0014,Neocrania bifasciata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Neocrania,bifasciata,https://mothphotographersgroup.msstate.edu/species.php?hodges=14,,"Neocrania bifasciata Davis, 1978",70013
09a0001,,0015,Acanthopteroctetes tripunctata,"Braun, 1921",,Neopseustoidea,Acanthopteroctetidae,,,,Acanthopteroctetes,tripunctata,https://mothphotographersgroup.msstate.edu/species.php?hodges=15,,"Acanthopteroctetes tripunctata Braun, 1921
Acanthopteroctetes tripunctella Davis, 1969",130001
09a0002,,0016,Acanthopteroctetes bimaculata,"Davis, 1969",,Neopseustoidea,Acanthopteroctetidae,,,,Acanthopteroctetes,bimaculata,https://mothphotographersgroup.msstate.edu/species.php?hodges=16,,"Acanthopteroctetes bimaculata Davis, 1969",130002
09a0003,,0017,Acanthopteroctetes unifascia,"Davis, 1978",,Neopseustoidea,Acanthopteroctetidae,,,,Acanthopteroctetes,unifascia,https://mothphotographersgroup.msstate.edu/species.php?hodges=17,,"Acanthopteroctetes unifascia Davis, 1978",130003
09a0004,,0017.1,Acanthopteroctetes aurulenta,"Davis, 1984",,Neopseustoidea,Acanthopteroctetidae,,,,Acanthopteroctetes,aurulenta,https://mothphotographersgroup.msstate.edu/species.php?hodges=17.1,,"Acanthopteroctetes aurulenta Davis, 1984",130004
110001,,0023,Gazoryctra hyperboreus,"(Möschler, 1862)",,Hepialoidea,Hepialidae,,,,Gazoryctra,hyperboreus,https://mothphotographersgroup.msstate.edu/species.php?hodges=23,"Gazoryctra hyperboreus (Möschler, 1862), n. comb. in Wagner & Tindale (1988).","Epialus hyperboreus Möschler, 1862",110001
110002,,0023.1,Gazoryctra sciophanes,"(Ferguson, 1979)",,Hepialoidea,Hepialidae,,,,Gazoryctra,sciophanes,https://mothphotographersgroup.msstate.edu/species.php?hodges=23.1,,"Hepialus sciophanes Ferguson, 1979",110002
110003,,0024,Gazoryctra confusus,"(Edwards, [1885] 1884)",,Hepialoidea,Hepialidae,,,,Gazoryctra,confusus,https://mothphotographersgroup.msstate.edu/species.php?hodges=24,,"Hepialus confusus Edwards, [1885] 1884",110003
110004,,0025,Gazoryctra roseicaput,"(Neumoegen & Dyar, 1893)",,Hepialoidea,Hepialidae,,,,Gazoryctra,roseicaput,https://mothphotographersgroup.msstate.edu/species.php?hodges=25,"Gazoryctra roseicaput (Neumoegen & Dyar, 1893), n. comb. in Wagner & Tindale (1988).","Hepialus roseicaput Neumögen & Dyar, 1893
Hepialus demutatus Barnes & Benjamin, [1926] 1925
Hepialus mutatus Barnes & Benjamin, [1926] 1925",110004
110005,,0026,Gazoryctra pulcher,"(Grote, [1865] 1864)",,Hepialoidea,Hepialidae,,,,Gazoryctra,pulcher,https://mothphotographersgroup.msstate.edu/species.php?hodges=26,"Gazoryctra pulcher (Grote, [1865] 1864), n. comb. in Wagner & Tindale (1988).","Hepialus pulcher Grote, [1865] 1864",110005
110006,,0027,Gazoryctra mcglashani,"(Edwards, 1886)",,Hepialoidea,Hepialidae,,,,Gazoryctra,mcglashani,https://mothphotographersgroup.msstate.edu/species.php?hodges=27,,"Hepialus mcglashani Edwards, 1886",110006
110007,,0028,Gazoryctra mathewi,"(Edwards, 1874)",Matthew's Ghost Moth,Hepialoidea,Hepialidae,,,,Gazoryctra,mathewi,https://mothphotographersgroup.msstate.edu/species.php?hodges=28,"Gazoryctra mathewi (Edwards, 1874), n. comb. in Wagner & Tindale (1988).","Epialus mathewi Edwards, 1874",110007
110008,,0029,Gazoryctra novigannus,"(Barnes & Benjamin, [1926] 1925)",,Hepialoidea,Hepialidae,,,,Gazoryctra,novigannus,https://mothphotographersgroup.msstate.edu/species.php?hodges=29,"Gazoryctra novigannus (Barnes & Benjamin, [1926] 1925), n. comb. in Wagner & Tindale (1988).","Hepialus novigannus Barnes & Benjamin, [1926] 1925
Hepialus mackiei Barnes & Benjamin, [1926] 1925",110008
110009,,0029.1,Gazoryctra wielgusi,"Wagner & Tindale, 1988",,Hepialoidea,Hepialidae,,,,Gazoryctra,wielgusi,https://mothphotographersgroup.msstate.edu/species.php?hodges=29.1,"Gazoryctra wielgusi Wagner & Tindale, 1988, n. sp., Jour. Lepid. Soc., 42: 207","Gazoryctra wielgusi Wagner & Tindale, 1988",110009
110010,,0032,Gazoryctra lembertii,"(Dyar, 1894)",,Hepialoidea,Hepialidae,,,,Gazoryctra,lembertii,https://mothphotographersgroup.msstate.edu/species.php?hodges=32,"Gazoryctra lembertii (Dyar, 1894), n. comb. in Wagner & Tindale (1988).","Hepialus lembertii Dyar, 1894",110010
110011,,0031,Korscheltellus gracilis,"(Grote, [1865])",Conifer Swift Moth,Hepialoidea,Hepialidae,,,,Korscheltellus,gracilis,https://mothphotographersgroup.msstate.edu/species.php?hodges=31,,"Hepialus gracilis Grote, [1865]
Hepialus furcatus Grote, 1883
Hepialus labradoriensis Packard, [1865] 1864
Hepialus mustelinus Packard, [1865] 1864",110011
110012,,0031.1,Korscheltellus lupulina,"(Linnaeus, 1758)",Common Swift Moth,Hepialoidea,Hepialidae,,,,Korscheltellus,lupulina,https://mothphotographersgroup.msstate.edu/species.php?hodges=31.1,"Korscheltellus lupulina (Linnaeus, 1758) is now recognized within the North American fauna north of Mexico (Grehan & Landry 2018).","Noctua lupulina Linnaeus, 1758
Hepialus albomarginata Cockayne, 1955
Korscheltellus anteradiata Lempke, 1961
Hepialus continuata van de Pol, 1961
Hepialus cora Schrank, 1801
Hepialus dacius Caradja, 1893
Korscheltellus espanoli Pérez de Gregorio, 1981
Hepialus fuscata van de Pol, 1961
Hepialus fuscus Haworth, 1809
Psilothrix incerta Millière, 1886
Hepialus intermedia Spuler, 1910
Hepialus latemarginatus Bytinski-Salz, 1939
Hepialus maculata van de Pol, 1961
Hepialus obliquus Fabricius, 1794
Hepialus obscura van de Pol, 1961
Korscheltellus pallida Lempke, 1961
Hepialus pauper van de Pol, 1961
Hepialus reducta van de Pol, 1961
Hepialus senex Pfitzner, 1912
Hepialus serraticornis Gmelin, 1790
Hepialus unicolor Spuler, 1910
Hepialus variegata van de Pol, 1961",110012
110013,,0033,Phymatopus behrensii,"(Stretch, 1872)",,Hepialoidea,Hepialidae,,,,Phymatopus,behrensii,https://mothphotographersgroup.msstate.edu/species.php?hodges=33,"Phymatopus behrensii (Stretch, 1872) corrects the original spelling of behrnsii, see  Stretch, 1872:240, and misspelling of behrensi in Hodges et al. (1983) (Checklist). This species includes as a synonym ","Sthenopis behrensii Stretch, 1872
Sthenopis behrnsii Stretch, 1872 (incorr. orig. spelling)
Hepialus behrensi (McDunnough, 1938) (emend.)
Hepialus anceps Edwards, 1881
Hepialus desolatus Strecker, 1875
Sthenopis montana Stretch, 1872
Epialus tacomae Edwards, 1874",110013
110014,,0035,Phymatopus californicus,"(Boisduval, 1868)",Lupine Ghost Moth,Hepialoidea,Hepialidae,,,,Phymatopus,californicus,https://mothphotographersgroup.msstate.edu/species.php?hodges=35,,"Hepialus californicus Boisduval, 1868
Hepialus baroni Behrens, 1876
Hepialus mendocinolus Behrens, 1876
Hepialus rectus Edwards, 1881
Hepialus sequoiolus Behrens, 1876",110014
110015,,0036,Phymatopus hectoides,"(Boisduval, 1868)",,Hepialoidea,Hepialidae,,,,Phymatopus,hectoides,https://mothphotographersgroup.msstate.edu/species.php?hodges=36,,"Hepialus hectoides Boisduval, 1868
Hepialus inutilis Edwards, 1881
Hepialus lenzi Behrens, 1876
Epialus modestus Edwards, 1873
Hepialus sangaris Strecker, 1878",110015
110016,,0018,Sthenopis argenteomaculatus,"(Harris, 1841)",Silver-spotted Ghost Moth,Hepialoidea,Hepialidae,,,,Sthenopis,argenteomaculatus,https://mothphotographersgroup.msstate.edu/species.php?hodges=18,,"Hepiolus [sic] argenteomaculatus Harris, 1841
Cossus alni Kellicott, 1885
Sthenopis argentata Packard, [1865] 1864
Hepialus los Strecker, 1893
Sthenopis perdita Dyar, 1893",110016
110017,,0019,Sthenopis purpurascens,"(Packard, 1863)",Four-spotted Ghost Moth,Hepialoidea,Hepialidae,,,,Sthenopis,purpurascens,https://mothphotographersgroup.msstate.edu/species.php?hodges=19,"Sthenopis purpurascens (Packard, 1863): This species includes the former species 0020 - Sthenopis quadriguttatus (Grote, 1864).","Gorgopis purpurascens Packard, 1863
Gorgopis quadriguttatus Grote, 1864
Sthenopis semiauratus Neumögen & Dyar, 1893",110017
110018,,0021,Sthenopis thule,"(Strecker, 1875)",Willow Ghost Moth,Hepialoidea,Hepialidae,,,,Sthenopis,thule,https://mothphotographersgroup.msstate.edu/species.php?hodges=21,,"Hepialus thule Strecker, 1875",110018
110019.1,,0022,Sthenopis pretiosus,"(Herrich-Schäffer, [1856] 1855)",Gold-spotted Ghost Moth,Hepialoidea,Hepialidae,,,,Sthenopis,pretiosus,https://mothphotographersgroup.msstate.edu/species.php?hodges=22,"Sthenopis pretiosus (Herrich-Schäffer, [1856] 1855) includes as a synonym [0022] Sthenopis auratus (Grote, 1878) in Mielke & Grehan (2015), The European Entomologist, 7(4): 121-122.","Epiolus [sic] pretiosus Herrich-Schäffer, [1856] 1855
Hepialus auratus Grote, 1878
Phassus eldorado Pfitzner, 1906",110019
16a0001,,0117,Enteucha basidactyla,"(Davis, 1978)",,Nepticuloidea,Nepticulidae,,,,Enteucha,basidactyla,https://mothphotographersgroup.msstate.edu/species.php?hodges=117,Enteucha basidactyla: Formerly placed in the genus Manoneura (Van Nieukerken et al. 2016).,"Oligoneura basidactyla Davis, 1978",160001
16a0002,,0118,Enteucha gilvafascia,"(Davis, 1978)",,Nepticuloidea,Nepticulidae,,,,Enteucha,gilvafascia,https://mothphotographersgroup.msstate.edu/species.php?hodges=118,,"Artaversala gilvafascia Davis, 1978",160002
16a0003,,0111,Stigmella resplendensella,"(Chambers, 1875)",,Nepticuloidea,Nepticulidae,,,,Stigmella,resplendensella,https://mothphotographersgroup.msstate.edu/species.php?hodges=111,,"Nepticula resplendensella Chambers, 1875",160003
16a0004,,0096,Stigmella unifasciella,"(Chambers, 1875)",,Nepticuloidea,Nepticulidae,,,,Stigmella,unifasciella,https://mothphotographersgroup.msstate.edu/species.php?hodges=96,,"Nepticula unifasciella Chambers, 1875",160004
16a0005,,0071,Stigmella ceanothi,"(Braun, 1910)",,Nepticuloidea,Nepticulidae,,,,Stigmella,ceanothi,https://mothphotographersgroup.msstate.edu/species.php?hodges=71,,"Nepticula ceanothi Braun, 1910",160005
16a0006,,0077,Stigmella cerea,"(Braun, 1917)",,Nepticuloidea,Nepticulidae,,,,Stigmella,cerea,https://mothphotographersgroup.msstate.edu/species.php?hodges=77,,"Nepticula cerea Braun, 1917",160006
16a0006.1,,0076,Stigmella gossypii,"(Forbes & Leonard, 1930)",Cotton Leafminer,Nepticuloidea,Nepticulidae,,,,Stigmella,gossypii,https://mothphotographersgroup.msstate.edu/species.php?hodges=76,,"Nepticula gossypii Forbes & Leonard, 1930",160010
16a0007,,0072,Stigmella intermedia,"(Braun, 1917)",,Nepticuloidea,Nepticulidae,,,,Stigmella,intermedia,https://mothphotographersgroup.msstate.edu/species.php?hodges=72,,"Nepticula intermedia Braun, 1917",160007
16a0008,,0070,Stigmella prunifoliella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,,,,Stigmella,prunifoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=70,"Stigmella prunifoliella (Clemens, [1862]), rev. stat., comb. n. (Newton & Wilkinson 1982:385-387), was previously treated as  a nomen nudurn (invalid description) in Braun (1917:171). Newton & Wilkinson designated the holotype of bifasciella Clemens as the neotype of prunifoliella.","Nepticula prunifoliella Clemens, [1862]
Nepticula bifasciella Clemens, 1862
Nepticula serotinaeella Chambers, 1873",160008
16a0009,,0073,Stigmella rhoifoliella,"(Braun, 1912)",,Nepticuloidea,Nepticulidae,,,,Stigmella,rhoifoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=73,,"Nepticula rhoifoliella Braun, 1912",160009
16a0010.1,,0086.1,Stigmella multispicata,"Rociené & Stonis, 2014",,Nepticuloidea,Nepticulidae,,,,Stigmella,multispicata,https://mothphotographersgroup.msstate.edu/species.php?hodges=86.1,"Stigmella multispicata Rociené & Stonis 2014, a nonnative species from Asian, is now recognized within the North American fauna north of Mexico with specimens collected by Jim Vargo in Indiana dating back to at least 2010 (van Nieukerken et al. 2018).","Stigmella multispicata Rociené & Stonis, 2014",160010.1
16a0011,,0090,Stigmella castaneaefoliella,"(Chambers, 1875)",,Nepticuloidea,Nepticulidae,,,,Stigmella,castaneaefoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=90,,"Nepticula castaneaefoliella Chambers, 1875",160011
16a0012,,0091,Stigmella flavipedella,"(Braun, 1914)",,Nepticuloidea,Nepticulidae,,,,Stigmella,flavipedella,https://mothphotographersgroup.msstate.edu/species.php?hodges=91,,"Nepticula flavipedella Braun, 1914",160012
16a0013,,0088,Stigmella macrocarpae,"(Freeman, 1967)",,Nepticuloidea,Nepticulidae,,,,Stigmella,macrocarpae,https://mothphotographersgroup.msstate.edu/species.php?hodges=88,"Stigmella macrocarpae (Freeman, 1967), n. comb., replaces the name Nepticula latifasciella Chambers, 1878, a junior homonym of Nepticula latifasciella Herrich-Schäffer, 1855 in Nieukerken et al. (2016).","Nepticula macrocarpae Freeman, 1967
Nepticula latifasciella Chambers, 1878",160013
16a0014,,0089,Stigmella nigriverticella,"(Chambers, 1875)",,Nepticuloidea,Nepticulidae,,,,Stigmella,nigriverticella,https://mothphotographersgroup.msstate.edu/species.php?hodges=89,,"Nepticula nigriverticella Chambers, 1875
Nepticula maculosella Chambers, 1880",160014
16a0015,,0087,Stigmella saginella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,,,,Stigmella,saginella,https://mothphotographersgroup.msstate.edu/species.php?hodges=87,,"Nepticula saginella Clemens, [1862]
Nepticula fuscocapitella Chambers, 1873
Nepticula quercicastanella Chambers, 1873",160015
16a0016,,0091.1,Stigmella sclerostylota,"Newton & Wilkinson, 1982",,Nepticuloidea,Nepticulidae,,,,Stigmella,sclerostylota,https://mothphotographersgroup.msstate.edu/species.php?hodges=91.1,"Stigmella sclerostylota Newton & Wilkinson, 1982, n. sp., Systematic Entomology, v. 7, p. 367-463.","Stigmella sclerostylota Newton & Wilkinson, 1982",160016
16a0017,,0095.6,Stigmella betulicola,"(Stainton, 1856)",,Nepticuloidea,Nepticulidae,,,,Stigmella,betulicola,https://mothphotographersgroup.msstate.edu/species.php?hodges=95.6,"Stigmella betulicola (Stainton, 1856) is now recognized within the North American fauna north of Mexico (van Nieukerken et al. 2016).","Nepticula betulicola Stainton, 1856
Nepticula betulicolella Doubleday, 1859
Nepticula nanivora Petersen, 1930",160017
16a0019,,0093.1,Stigmella caryaefoliella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,,,,Stigmella,caryaefoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=93.1,"Stigmella caryaefoliella (Clemens, 1861), formerly a synonym of Stigmella juglandifoliella (Clemens, [1862]), is reinstated as a valid species in Nieukerken et al. (2016).","Nepticula caryaefoliella Clemens, [1862]
Stigmella juglandifoliella of authors not Clemens, [1862]
Stigmella ostryaefoliella of authors not Clemens, [1862]",160019
16a0020,,0092,Stigmella corylifoliella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,,,,Stigmella,corylifoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=92,,"Nepticula corylifoliella Clemens, [1862]
Nepticula exasperata Braun, 1930
Nepticula minimella Chambers, 1873
Nepticula opulifoliella Braun, 1914
Nepticula paludicola Braun, 1917
Nepticula virginiella Clemens, [1862]",160020
16a0021,,0095,Stigmella juglandifoliella,"(Clemens, [1862])",Pecan Serpentine Leafminer,Nepticuloidea,Nepticulidae,,,,Stigmella,juglandifoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=95,,"Nepticula juglandifoliella Clemens, [1862]",160021
16a0022,,0095.1,Stigmella longisacca,"Newton & Wilkinson, 1982",,Nepticuloidea,Nepticulidae,,,,Stigmella,longisacca,https://mothphotographersgroup.msstate.edu/species.php?hodges=95.1,"Stigmella longisacca Newton & Wilkinson, 1982, n. sp., Systematic Entomology, v. 7, p. 367-463.","Stigmella longisacca Newton & Wilkinson, 1982",160022
16a0022.1,,0095.2,Stigmella microtheriella,"(Stainton, 1854)",,Nepticuloidea,Nepticulidae,,,,Stigmella,microtheriella,https://mothphotographersgroup.msstate.edu/species.php?hodges=95.2,"Stigmella microtheriella includes as a synonym Stigmella cathepostis Kemperman & Wilkinson, 1985 in Nieukerken et al. (2016). This species is now recognized within the North American fauna north of Mexico with specimens found in both eastern and western North America. (Eiseman & van Nieukerken 2015).","Nepticula microtheriella Stainton, 1854
Stigmella cathepostis Kemperman & Wilkinson, 1985",160018
16a0023,,0094,Stigmella myricafoliella,"(Busck, 1900)",,Nepticuloidea,Nepticulidae,,,,Stigmella,myricafoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=94,,"Nepticula myricafoliella Busck, 1900
Nepticula obscurella Braun, 1912",160023
16a0024,,0093,Stigmella ostryaefoliella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,,,,Stigmella,ostryaefoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=93,,"Nepticula ostryaefoliella Clemens, [1862]",160024
16a0025,,0098,Stigmella tiliella,"(Braun, 1912)",,Nepticuloidea,Nepticulidae,,,,Stigmella,tiliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=98,,"Nepticula tiliella Braun, 1912",160025
16a0026,,0097,Stigmella condaliafoliella,"(Busck, 1900)",,Nepticuloidea,Nepticulidae,,,,Stigmella,condaliafoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=97,,"Nepticula condaliafoliella Busck, 1900",160026
16a0027,,0075,Stigmella diffasciae,"(Braun, 1910)",,Nepticuloidea,Nepticulidae,,,,Stigmella,diffasciae,https://mothphotographersgroup.msstate.edu/species.php?hodges=75,,"Nepticula diffasciae Braun, 1910",160027
16a0028,,0076.1,Stigmella inconspicuella,"Newton & Wilkinson, 1982",,Nepticuloidea,Nepticulidae,,,,Stigmella,inconspicuella,https://mothphotographersgroup.msstate.edu/species.php?hodges=76.1,"Stigmella inconspicuella Newton & Wilkinson, 1982, n. sp., Systematic Entomology, v. 7, p. 367-463.","Stigmella inconspicuella Newton & Wilkinson, 1982",160028
16a0029,,0074,Stigmella rhamnicola,"(Braun, 1916)",,Nepticuloidea,Nepticulidae,,,,Stigmella,rhamnicola,https://mothphotographersgroup.msstate.edu/species.php?hodges=74,,"Nepticula rhamnicola Braun, 1916
Nepticula rhamnella Braun, 1912",160029
16a0030,,0078,Stigmella rosaefoliella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,,,,Stigmella,rosaefoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=78,,"Nepticula rosaefoliella Clemens, [1862]",160030
16a0030.1,,0104,Stigmella braunella,"(Jones, 1933)",,Nepticuloidea,Nepticulidae,,,,Stigmella,braunella,https://mothphotographersgroup.msstate.edu/species.php?hodges=104,,"Nepticula braunella Jones, 1933",160033
16a0031,,0095.3,Stigmella confusella,"(Wood & Walsingham, 1894)",,Nepticuloidea,Nepticulidae,,,,Stigmella,confusella,https://mothphotographersgroup.msstate.edu/species.php?hodges=95.3,"Stigmella confusella (Wood & Walsingham, 1894)  is now recognized within the North American fauna north of Mexico, ZooKeys, 628: 65-246.","Nepticula confusella Wood & Walsingham, 1894",160031
16a0032,,0095.4,Stigmella lapponica,"(Wocke, 1862)",,Nepticuloidea,Nepticulidae,,,,Stigmella,lapponica,https://mothphotographersgroup.msstate.edu/species.php?hodges=95.4,"Stigmella lapponica (Wocke, 1862) is now recognized within the North American fauna north of Mexico in Pohl et al. (2018) (Canada) and Van Nieukerken et al. (2016) (without details).","Nepticula lapponica Wocke, 1862
Nepticula lapponicella Herrich-Schäffer, 1862
Nepticula lusatica Schütze, 1905
Nepticula vossensis Grønlien, 1928",160032
16a0034,,0079,Stigmella slingerlandella,"(Kearfott, 1908)",,Nepticuloidea,Nepticulidae,,,,Stigmella,slingerlandella,https://mothphotographersgroup.msstate.edu/species.php?hodges=79,,"Nepticula slingerlandella Kearfott, 1908",160034
16a0037,,0082,Stigmella fuscotibiella,"(Clemens, 1862)",,Nepticuloidea,Nepticulidae,,,,Stigmella,fuscotibiella,https://mothphotographersgroup.msstate.edu/species.php?hodges=82,,"Nepticula fuscotibiella Clemens, 1862
Nepticula ciliaefuscella Chambers, 1873
Nepticula discolorella Braun, 1912
Nepticula furcotibiella Riley, 1891",160037
16a0038,,0086,Stigmella pallida,"(Braun, 1912)",,Nepticuloidea,Nepticulidae,,,,Stigmella,pallida,https://mothphotographersgroup.msstate.edu/species.php?hodges=86,,"Nepticula pallida Braun, 1912",160038
16a0039,,0084,Stigmella populetorum,"(Frey & Boll, 1878)",,Nepticuloidea,Nepticulidae,,,,Stigmella,populetorum,https://mothphotographersgroup.msstate.edu/species.php?hodges=84,"Stigmella populetorum (Frey & Boll, 1878) includes as a synonym Stigmella aromella Wilkinson & Scoble, 1979 (van Nieukerken & Eiseman in Pohl & Nanz (eds.) 2023).","Nepticula populetorum Frey & Boll, 1878
Stigmella aromella Wilkinson & Scoble, 1979",160039
16a0039.1,,0079.2,Stigmella salicis,"(Stainton, 1854)",,Nepticuloidea,Nepticulidae,,,,Stigmella,salicis,https://mothphotographersgroup.msstate.edu/species.php?hodges=79.2,"Stigmella salicis (Stainton, 1854) is now recognized within the North American fauna north of Mexico in Pohl et al. (2018) (Canada) and Van Nieukerken et al. (2016) (without details).","Nepticula salicis Stainton, 1854
Nepticula auritella Skala, 1939
Nepticula dewitziella Sorhagen, 1885
Nepticula salicella Herrich-Schäffer, 1855
Nepticula salicivorella Doubleday, 1859",160035
16a0040,,0101,Stigmella altella,"(Braun, 1914)",,Nepticuloidea,Nepticulidae,,,,Stigmella,altella,https://mothphotographersgroup.msstate.edu/species.php?hodges=101,,"Nepticula altella Braun, 1914",160040
16a0041,,0099,Stigmella quercipulchella,"(Chambers, 1882)",,Nepticuloidea,Nepticulidae,,,,Stigmella,quercipulchella,https://mothphotographersgroup.msstate.edu/species.php?hodges=99,,"Nepticula quercipulchella Chambers, 1878
Nepticula terminella Braun, 1914",160041
16a0042,,0100,Stigmella variella,"(Braun, 1910)",,Nepticuloidea,Nepticulidae,,,,Stigmella,variella,https://mothphotographersgroup.msstate.edu/species.php?hodges=100,,"Nepticula variella Braun, 1910",160042
16a0043,,0078.1,Stigmella anomalella,"(Goeze, 1783)",,Nepticuloidea,Nepticulidae,,,,Stigmella,anomalella,https://mothphotographersgroup.msstate.edu/species.php?hodges=78.1,"Stigmella anomalella (Goeze, 1783) is now recognized within the North American fauna north of Mexico in Pohl et al. (2018) (Canada) and Van Nieukerken et al. (2016) (without details).","Phalaena anomalella Goeze, 1783
Nepticula aeneella Heinemann, 1862
Stigmella caulescentella Klimesch, 1948
Nepticula fletcheri Tutt, 1899
Phalaena grisearosae Retzius, 1783
Nepticula helbigi Hartig, 1941
Nepticula laticuniculella Sauber, 1904
Stigmella pacifica Puplesis, 1987
Tinea penicilla Thunberg, 1794
Nepticula rosarum Sorhagen, 1922
Tinea rosella Schrank, 1802
Stigmella rubicurrens Walsingham, 1908
Nepticula zermattensis Weber, 1936",160043
