path,unit,bytes,species_slug,shape,detail
eupithecia-miserulata/Eupithecia miserulata-OSAC_0001081328-V.jpg,object,358922,eupithecia-miserulata,photo-no-row,no row in data/images.csv; eupithecia-miserulata is not in data/species.csv
eupithecia-miserulata/Eupithecia miserulata-OSAC_0001081330-D.jpg,object,344642,eupithecia-miserulata,photo-no-row,no row in data/images.csv; eupithecia-miserulata is not in data/species.csv
eupithecia-miserulata/Eupithecia miserulata-OSAC_0001081330-V.jpg,object,364034,eupithecia-miserulata,photo-no-row,no row in data/images.csv; eupithecia-miserulata is not in data/species.csv
eupithecia-perfusca/Eupithecia perfusca-OSAC_0001081346-D.jpg,object,371394,eupithecia-perfusca,photo-no-row,no row in data/images.csv; eupithecia-perfusca is not in data/species.csv
eupithecia-perfusca/Eupithecia perfusca-OSAC_0001081346-V.jpg,object,378930,eupithecia-perfusca,photo-no-row,no row in data/images.csv; eupithecia-perfusca is not in data/species.csv
eupithecia-perfusca/Eupithecia perfusca-OSAC_0001081347-D.jpg,object,359043,eupithecia-perfusca,photo-no-row,no row in data/images.csv; eupithecia-perfusca is not in data/species.csv
eupithecia-perfusca/Eupithecia perfusca-OSAC_0001081347-V.jpg,object,363005,eupithecia-perfusca,photo-no-row,no row in data/images.csv; eupithecia-perfusca is not in data/species.csv
eupithecia-placidata/Eupithecia placidata-OSAC_0001081313-D.jpg,object,337065,eupithecia-placidata,photo-no-row,no row in data/images.csv; eupithecia-placidata is not in data/species.csv
eupithecia-placidata/Eupithecia placidata-OSAC_0001081313-V.jpg,object,319981,eupithecia-placidata,photo-no-row,no row in data/images.csv; eupithecia-placidata is not in data/species.csv
eupithecia-segregata/Eupithecia segregata-OSAC_0001081339-D.jpg,object,343061,eupithecia-segregata,photo-no-row,no row in data/images.csv; eupithecia-segregata is not in data/species.csv
eupithecia-segregata/Eupithecia segregata-OSAC_0001081339-V.jpg,object,353160,eupithecia-segregata,photo-no-row,no row in data/images.csv; eupithecia-segregata is not in data/species.csv
eupithecia-segregata/Eupithecia segregata-OSAC_0001081344-D.jpg,object,343877,eupithecia-segregata,photo-no-row,no row in data/images.csv; eupithecia-segregata is not in data/species.csv
