path,unit,bytes,species_slug,shape,detail
hydraecia-pallescens/Hydraecia pallescens-B-V.jpg,object,130976,hydraecia-pallescens,photo-no-row,no row in data/images.csv; hydraecia-pallescens is not in data/species.csv
hydraecia-pallescens/Hydraecia pallescens-C-D.jpg,object,128324,hydraecia-pallescens,photo-no-row,no row in data/images.csv; hydraecia-pallescens is not in data/species.csv
hydraecia-pallescens/Hydraecia pallescens-C-V.jpg,object,124586,hydraecia-pallescens,photo-no-row,no row in data/images.csv; hydraecia-pallescens is not in data/species.csv
hydriomena-irata/Hydriomena irata-OSAC_0000892692-D.jpg,object,374534,hydriomena-irata,photo-no-row,no row in data/images.csv; hydriomena-irata is not in data/species.csv
hydriomena-irata/Hydriomena irata-OSAC_0000892692-V.jpg,object,387962,hydriomena-irata,photo-no-row,no row in data/images.csv; hydriomena-irata is not in data/species.csv
hydriomena-irata/Hydriomena irata-OSAC_0001081377-D.jpg,object,372546,hydriomena-irata,photo-no-row,no row in data/images.csv; hydriomena-irata is not in data/species.csv
hydriomena-irata/Hydriomena irata-OSAC_0001081377-V.jpg,object,384544,hydriomena-irata,photo-no-row,no row in data/images.csv; hydriomena-irata is not in data/species.csv
hydriomena-irata/Hydriomena irata-OSAC_0001081381-D.jpg,object,371790,hydriomena-irata,photo-no-row,no row in data/images.csv; hydriomena-irata is not in data/species.csv
hydriomena-irata/Hydriomena irata-OSAC_0001081381-V.jpg,object,360464,hydriomena-irata,photo-no-row,no row in data/images.csv; hydriomena-irata is not in data/species.csv
hydriomena-marinata/Hydriomena marinata-OSAC_0001081378-D.jpg,object,363899,hydriomena-marinata,photo-no-row,no row in data/images.csv; hydriomena-marinata is not in data/species.csv
hydriomena-marinata/Hydriomena marinata-OSAC_0001081378-V.jpg,object,361373,hydriomena-marinata,photo-no-row,no row in data/images.csv; hydriomena-marinata is not in data/species.csv
hydriomena-marinata/Hydriomena marinata-OSAC_0001081380-D.jpg,object,390246,hydriomena-marinata,photo-no-row,no row in data/images.csv; hydriomena-marinata is not in data/species.csv
