species_id,species_slug,record_type,latitude,longitude,state,county,locality,elevation_ft,year,month,day,collector,collection,notes
1943,catocala-hermia,specimen,45.737,-108.526,MT,Yellowstone,Billings; Riverfront Park,3141,1998,9,2,Chris Harp,UASM,Strickland website
2116,catocala-junctura,specimen,45.737,-108.526,MT,Yellowstone,Billings; Riverfront Park,3141,1997,9,8,Chris Harp,UASM,Strickland website
2834,catocala-meskei,specimen,45.6,-109.04,MT,Stillwater,"Park City, 7mW I-90",3750,1998,8,15,Chuck Harper,UASM,Strickland website 
2834,catocala-meskei,specimen,45.737,-108.526,MT,Yellowstone,Billings; Riverfront Park,3141,1998,9,7,Chuck Harper,UASM,Strickland website
1598,idia-americalis,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,"Cook, 1931; Shepard notes; "
2114,idia-immaculalis,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,"Cook, 1931; Shepard notes; "
2137,bleptina-caradrinalis,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,"Cook, 1931; Shepard notes; "
1991,hypena-humuli,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,"Cook, 1931; Shepard notes; "
2334,ascalapha-odorata,literature,47.561,-109.375,MT,Fergus,Winifred,3235,1926,4,,,?,"Cook, 1931; Shepard notes; "
1943,catocala-hermia,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,"Cook, 1931; det. C. verecunda diantha; McDunnough; Shepard notes"
2270,drasteria-hudsonica,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,"Cook, 1931; as C. heathi; det. McDunnough; Shepard notes"
1740,caenurgina-crassiuscula,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,"Cook, 1931; Shepard notes; "
1606,caenurgina-erechtea,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,"Cook, 1931; Shepard notes; "
1761,euclidia-ardita,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,"Cook, 1931; Shepard notes; "
1942,syngrapha-ignea,specimen,45.061,-109.569,MT,Carbon,Beartooth Plateau,9500,1982,7,22,J. & S. Shepard,JHS,
1776,cucullia-intermedia,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes. 
2437,cucullia-luna,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes. 
2354,sympistis-albifasciata,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes. 
2445,sympistis-occata,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes. 
2448,sympistis-stabilis,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes. 
2528,sympistis-cibalis,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes. 
