species_slug,filename,photographer,weight,license,view,specimen,navigational,locality,state,latitude,longitude,elevation_ft,year,month,day,collector,subspecies
abagrotis-forbesi,Abagrotis forbesi-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,"Turtleback Mt., SW slope",WA,48.646,-122.976,378,1997,6,9,L. G. Crabo,
abagrotis-forbesi,Abagrotis forbesi-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,Alder C. G./Grouse Flat,WA,46.26,-117.554,5014,2000,7,8,L. & E. Crabo,
abagrotis-forbesi,Abagrotis forbesi-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,Alder C. G./Grouse Flat,WA,46.26,-117.554,5014,2000,7,8,L. & E. Crabo,
abagrotis-forbesi,Abagrotis forbesi-C-D.jpg,Merrill A. Peterson,5,CC BY-NC-SA 4.0,dorsal,C,,Chumstick Mt.,WA,47.63,-120.44,4586,2004,6,21,L. & E. Crabo,
abagrotis-forbesi,Abagrotis forbesi-C-V.jpg,Merrill A. Peterson,6,CC BY-NC-SA 4.0,ventral,C,,Chumstick Mt.,WA,47.63,-120.44,4586,2004,6,21,L. & E. Crabo,
abagrotis-forbesi,Abagrotis forbesi-D-D.jpg,Merrill A. Peterson,7,CC BY-NC-SA 4.0,dorsal,D,,L. Roosevelt; S of Jim Mt.,WA,47.9,-118.495,2075,2004,6,24,E. & L. Crabo,
abagrotis-forbesi,Abagrotis forbesi-D-V.jpg,Merrill A. Peterson,8,CC BY-NC-SA 4.0,ventral,D,,L. Roosevelt; S of Jim Mt.,WA,47.9,-118.495,2075,2004,6,24,E. & L. Crabo,
abagrotis-glenni,Abagrotis glenni-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,"Coast Range, Gott Park",BC,50.36,-122.14,7100,2005,8,6,LG Crabo,
abagrotis-glenni,Abagrotis glenni-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,"Coast Range, Gott Park",BC,50.36,-122.14,7100,2005,8,6,LG Crabo,
abagrotis-glenni,Abagrotis glenni-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,Burnt R. Cyn.,OR,44.54,-117.66,4194,2001,8,22,L. G. Crabo,
